zipcode,income,old_ratio,average_HH,total_population,intergen,grandparents_caregivers,percent_nonwhite,percent_service,Positive_Covid_Tests,Covid_Rate,ses_level,nonwhite_level
53142,71615.0,0.25775558647785873,2.63,32929,0.25775558647785873,0.04280920029467136,0.12241489264781803,0.09018331201798241,8,0.00024294694646056667,med,med
60002,82692.0,0.2993497189463243,2.63,24066,0.2993497189463243,0.04419706822440207,0.05293775450843514,0.10319767441860465,68,0.002825563034987119,high,low
60004,94096.0,0.3150391306515129,2.4699999999999998,50915,0.3150391306515129,0.018992074173770003,0.1358931552587646,0.06902236767636999,205,0.004026318373760189,high,med
60005,78109.0,0.3358821186778176,2.26,29539,0.3358821186778176,0.017443249701314216,0.15579403500457023,0.08714515929093838,113,0.0038254510985476827,high,med
60007,79590.0,0.3213779733054955,2.3499999999999996,33420,0.3213779733054955,0.04652896875699053,0.14889287851585878,0.06900882796239144,181,0.0054159186116098145,high,med
60008,66462.0,0.2692168892096716,2.625,21833,0.2692168892096716,0.03753157704799711,0.27069115559016166,0.1379832324173265,200,0.009160445197636605,med,high
60010,137994.0,0.36558684878520487,2.54,46087,0.36558684878520487,0.042971110842499695,0.1534923080261245,0.04403219206111035,72,0.001562262677110682,high,med
60012,127651.0,0.29020524811639387,2.41,10958,0.29020524811639387,0.02286308131982333,0.03394780069355722,0.08421633554083885,68,0.006205511954736266,high,low
60013,98377.0,0.21147738473332603,2.675,25827,0.21147738473332603,0.05147300405213011,0.05289038603012351,0.11271788879150842,63,0.0024393077012428853,high,low
60014,87256.0,0.24788171737276088,2.71,48443,0.24788171737276088,0.037361387546204154,0.05550853580496666,0.10652338349983045,130,0.002683566253122226,high,low
60015,142409.0,0.30415642915642915,2.57,27452,0.30415642915642915,0.01996314496314496,0.08859099519160717,0.057136226502668835,137,0.004990528923211423,high,low
60016,64444.0,0.3096746014413627,2.545,59637,0.3096746014413627,0.0744704083861105,0.31949963948555427,0.10480366913421307,792,0.013280346093867901,med,high
60018,60751.0,0.3214677435437232,2.935,30386,0.3214677435437232,0.12344201814737261,0.21720529191074836,0.13355224873223046,379,0.012472849338511156,med,med
60020,57518.0,0.304297862560331,2.15,9827,0.304297862560331,0.034704665594116293,0.052406634781723825,0.08214154748808214,25,0.002544011397171059,med,low
60021,106960.0,0.17793764988009592,2.455,5548,0.17793764988009592,0.007673860911270983,0.020187454938716654,0.11440017805475183,16,0.002883922134102379,high,low
60022,209821.0,0.3351666127466839,2.3200000000000003,8477,0.3351666127466839,0.03558718861209965,0.057095670638197475,0.02750239846498241,23,0.002713224017930872,high,low
60025,97881.0,0.3698885998265626,2.575,41014,0.3698885998265626,0.039423654192515506,0.15882381625786318,0.0664607320041187,256,0.0062417711025503485,high,med
60026,111875.0,0.3808008982035928,2.4450000000000003,14118,0.3808008982035928,0.018899700598802395,0.2241818954526137,0.05621728929796066,107,0.007578977192236861,high,med
60030,87449.0,0.2811598282778521,2.565,36817,0.2811598282778521,0.03870786121472306,0.11730993834369992,0.08207256660864909,123,0.0033408479778363255,high,med
60031,93028.0,0.24580475704071209,2.59,37172,0.24580475704071209,0.03633445206478914,0.23668352523404712,0.10038701792504073,219,0.0058915312600882385,high,med
60033,58264.0,0.29081853616284103,2.98,13681,0.29081853616284103,0.057600692940666956,0.05686718807104744,0.16127110228401192,100,0.0073094072070755065,med,low
60035,147973.0,0.38951829110092534,2.4699999999999998,29734,0.38951829110092534,0.017728963071867162,0.06208380978004977,0.0625639713408393,180,0.006053675926548732,high,low
60040,57563.0,0.23161580790395198,2.5949999999999998,5366,0.23161580790395198,0.09954977488744372,0.18430860976518823,0.19557373105605003,88,0.016399552739470743,med,med
60041,65117.0,0.3014018691588785,2.55,8897,0.3014018691588785,0.04322429906542056,0.040687872316511185,0.0636830719307734,33,0.0037091154321681466,med,low
60042,76223.0,0.22500764292265363,2.4699999999999998,8420,0.22500764292265363,0.005808621216753286,0.03171021377672209,0.11106108359597779,20,0.0023752969121140144,med,low
60043,212750.0,0.27581863979848864,2.985,2512,0.27581863979848864,0.041561712846347604,0.057722929936305734,0.04537719795802609,14,0.005573248407643312,high,low
60044,107039.0,0.2630506748153807,2.3899999999999997,10003,0.2630506748153807,0.02648332060096766,0.13865840247925623,0.0627431906614786,70,0.006997900629811057,high,med
60045,171913.0,0.41212854645690467,2.62,21131,0.41212854645690467,0.03482587064676617,0.10605271875443661,0.04759370935319853,103,0.004874355212720647,high,med
60046,96024.0,0.24424222902238685,2.585,35286,0.24424222902238685,0.04243839587695281,0.08479283568554101,0.0797195721306736,135,0.0038258799523890495,high,low
60047,135146.0,0.22454023406265902,3.01,42637,0.22454023406265902,0.02682270843933997,0.14728991251729717,0.07536544452432303,140,0.003283533081595797,high,med
60048,134621.0,0.28977217644207465,2.4749999999999996,29058,0.28977217644207465,0.016577799321376634,0.08964828962764126,0.06426590396949211,88,0.0030284259068070756,high,med
60050,70289.0,0.28171611868484364,2.535,32732,0.28171611868484364,0.045308740978348035,0.04200782109250886,0.11509991178613892,146,0.004460466821459123,med,low
60051,82283.0,0.2479185938945421,2.6950000000000003,23298,0.2479185938945421,0.0354995374653099,0.041419864366040005,0.09882216236201341,72,0.003090394025238218,high,low
60053,85476.0,0.4360604606525912,2.84,23256,0.4360604606525912,0.0982485604606526,0.36399208806329547,0.07652459352720932,214,0.009201926384588924,high,high
60056,73686.0,0.3161551823972206,2.675,55250,0.3161551823972206,0.0390851187029531,0.22171945701357465,0.10776930741247075,428,0.007746606334841629,med,med
60060,93108.0,0.2580925311858519,2.935,37208,0.2580925311858519,0.06095057634612348,0.1915448290690174,0.11083047080218227,295,0.007928402494087293,high,med
60061,98939.0,0.25721442885771545,2.5949999999999998,27004,0.25721442885771545,0.05861723446893788,0.2958080284402311,0.07344824247119203,125,0.004628943860168864,high,high
60062,110012.0,0.4524481223747727,2.3099999999999996,40459,0.4524481223747727,0.024637953733308255,0.17373143181986703,0.044173276388041485,235,0.005808349193010208,high,med
60064,34911.0,0.23509933774834438,2.965,15705,0.23509933774834438,0.09368913128165174,0.5800700413880929,0.20091286307053943,471,0.02999044890162369,low,high
60067,97270.0,0.28790700661486096,2.3449999999999998,38177,0.28790700661486096,0.0206794682422452,0.19951803441862903,0.060497183919207616,119,0.003117060009953637,high,med
60068,102494.0,0.3442484716464057,2.36,37736,0.3442484716464057,0.02051858618508889,0.0601812592749629,0.061030634053668965,242,0.006412974348102608,high,low
60069,102632.0,0.5340909090909091,2.0300000000000002,8186,0.5340909090909091,0.022144522144522144,0.11849499144881505,0.03088803088803089,52,0.006352308819936477,high,med
60070,66379.0,0.3139896373056995,2.8600000000000003,16049,0.3139896373056995,0.09602763385146805,0.30369493426381705,0.1350896860986547,139,0.008660975761729703,med,high
60071,62750.0,0.2580414581844174,2.355,3581,0.2580414581844174,0.091493924231594,0.049427534208321695,0.11547826086956521,7,0.001954761239877129,med,low
60073,72175.0,0.1980750824205041,3.33,61706,0.1980750824205041,0.09151334680421142,0.19531325965060123,0.12943130655243257,589,0.009545263021424173,med,med
60074,67954.0,0.22529290144727773,2.7649999999999997,39478,0.22529290144727773,0.04596829772570641,0.35356401033487006,0.12382486358556308,244,0.0061806575814377625,med,high
60076,79795.0,0.39609053497942387,2.985,31867,0.39609053497942387,0.07510288065843622,0.3983117331408667,0.08395658343880642,364,0.011422474660306901,high,high
60077,63051.0,0.3910669007216696,2.735,28329,0.3910669007216696,0.10503218256290228,0.3861767093790815,0.0971619510501649,296,0.010448656853401109,med,high
60081,88958.0,0.27940749346500143,2.7249999999999996,9660,0.27940749346500143,0.050827766482718556,0.012836438923395446,0.08564844450134426,32,0.0033126293995859213,high,low
60083,95644.0,0.2672561323445522,3.0199999999999996,9990,0.2672561323445522,0.04021677124928694,0.24144144144144145,0.07999483070560869,72,0.007207207207207207,high,high
60084,80529.0,0.25505418081837294,2.615,16612,0.25505418081837294,0.06776645641274462,0.12388634721887792,0.12845083276294775,130,0.007825668191668673,high,med
60085,43204.0,0.17844111311381722,3.0700000000000003,70850,0.17844111311381722,0.0946058820943421,0.44742413549753,0.16763918578003736,1750,0.024700070571630206,low,high
60087,58981.0,0.24293369759377956,2.74,26678,0.24293369759377956,0.057476095408216875,0.3353699677637004,0.1360632183908046,461,0.017280155933728166,med,high
60089,111548.0,0.28000769428058475,2.605,41392,0.28000769428058475,0.037894331879969226,0.2691341321994588,0.061132853978944815,155,0.003744684963277928,high,high
60090,66243.0,0.2641415222198445,2.7249999999999996,38476,0.2641415222198445,0.06740851701262572,0.37477908306476765,0.13978390893305034,435,0.011305749038361576,med,high
60091,154614.0,0.3597301504929943,2.575,27367,0.3597301504929943,0.018889465490399583,0.14627105638177368,0.038779956427015254,120,0.004384843059158841,high,med
60093,174966.0,0.3469655072041915,2.685,19441,0.3469655072041915,0.02255857953718527,0.06918368396687413,0.031831335262505166,115,0.0059153335733758555,high,low
60096,87446.0,0.3101217656012177,2.67,6803,0.3101217656012177,0.0928462709284627,0.06967514331912392,0.07481912828657138,23,0.003380861384683228,high,low
60097,72719.0,0.22768878718535468,2.38,10826,0.22768878718535468,0.042105263157894736,0.013670792536486237,0.13329466357308584,31,0.00286347681507482,med,low
60098,66520.0,0.2974092422642735,2.54,32526,0.2974092422642735,0.052058799642654106,0.0653016048699502,0.10119254370730578,236,0.0072557338744389105,med,low
60099,54685.0,0.24105150839072656,2.9050000000000002,30934,0.24105150839072656,0.1015617421670385,0.3384948600245684,0.13603116208612853,378,0.01221956423352945,low,high
60101,64915.0,0.2853480129703642,2.8899999999999997,39216,0.2853480129703642,0.08687127667596713,0.2530344757241942,0.12785032157474177,511,0.013030395756833945,med,high
60102,102698.0,0.2246900826446281,2.67,32739,0.2246900826446281,0.040805785123966945,0.11066312349185986,0.06788243356430367,81,0.0024741134426830387,high,med
60103,105862.0,0.24923435904914687,2.9850000000000003,42196,0.24923435904914687,0.09333527781828788,0.20840837994122666,0.07739007603762811,176,0.004171011470281543,high,med
60104,55640.0,0.3105719794344473,2.865,18999,0.3105719794344473,0.15311696658097687,0.8636770356334544,0.13503673363240362,318,0.016737723038054635,med,high
60106,63486.0,0.2633598635588402,2.835,20462,0.2633598635588402,0.07077885162023877,0.213077900498485,0.09217077420960916,371,0.01813116997360962,med,med
60107,80039.0,0.2348490580313233,3.33,40437,0.2348490580313233,0.07853521979269124,0.33444617553230954,0.10942792043845065,377,0.00932314464475604,high,high
60108,85887.0,0.3356531660011409,2.395,22766,0.3356531660011409,0.045750142612664,0.1940613195115523,0.08332892159457886,162,0.0071158745497671965,high,med
60109,69583.0,0.24752475247524752,2.71,568,0.24752475247524752,0.06930693069306931,0.0,0.09090909090909091,11,0.01936619718309859,med,low
60110,63133.0,0.18134341797226725,3.6100000000000003,39333,0.18134341797226725,0.14433639474158114,0.4258764904787329,0.14520713422866482,366,0.009305163603081382,med,high
60112,69694.0,0.105890603085554,2.875,4356,0.105890603085554,0.03225806451612903,0.11753902662993572,0.12654120700843607,17,0.0039026629935720843,med,med
