Zip	Tested	Positive Cases	Deaths
53142	145	8	N/A
60002	549	68	N/A
60004	2416	205	N/A
60005	734	113	N/A
60007	877	181	N/A
60008	898	200	N/A
60010	749	72	N/A
60012	238	68	N/A
60013	409	63	N/A
60014	1020	130	N/A
60015	790	137	N/A
60016	2671	792	N/A
60018	1274	379	N/A
60020	268	25	N/A
60021	100	16	N/A
60022	239	23	N/A
60025	1472	256	N/A
60026	503	107	N/A
60030	916	123	N/A
60031	1245	219	N/A
60033	410	100	N/A
60035	1102	180	N/A
60040	229	88	N/A
60041	209	33	N/A
60042	160	20	N/A
60043	106	14	N/A
60044	379	70	N/A
60045	648	103	N/A
60046	809	135	N/A
60047	767	140	N/A
60048	633	88	N/A
60050	814	146	N/A
60051	547	72	N/A
60053	946	214	N/A
60056	1683	428	N/A
60060	1058	295	N/A
60061	617	125	N/A
60062	1587	235	N/A
60064	948	471	N/A
60067	946	119	N/A
60068	1070	242	N/A
60069	267	52	N/A
60070	502	139	N/A
60071	73	7	N/A
60073	1955	589	N/A
60074	1091	244	N/A
60076	1708	364	N/A
60077	1425	296	N/A
60079	32	10	N/A
60081	204	32	N/A
60083	322	72	N/A
60084	367	130	N/A
60085	4098	1750	N/A
60087	1493	461	N/A
60088	87	42	N/A
60089	889	155	N/A
60090	1465	435	N/A
60091	906	120	N/A
60093	744	115	N/A
60096	176	23	N/A
60097	253	31	N/A
60098	911	236	N/A
60099	1236	378	N/A
60101	1595	511	N/A
60102	603	81	N/A
60103	1045	176	N/A
60104	1120	318	N/A
60106	1252	371	N/A
60107	1415	377	N/A
60108	1329	162	N/A
60109	273	11	N/A
60110	1032	366	N/A
60112	114	17	N/A
60115	872	88	N/A
60118	312	43	N/A
60119	247	23	N/A
60120	1992	759	N/A
60123	1614	442	N/A
60124	442	62	N/A
60126	1377	186	N/A
60130	842	98	N/A
60131	916	249	N/A
60133	1556	452	N/A
60134	619	99	N/A
60135	172	23	N/A
60136	176	33	N/A
60137	871	106	N/A
60139	1399	385	N/A
60140	401	57	N/A
60141	218	8	N/A
60142	663	54	N/A
60143	516	113	N/A
60146	47	8	N/A
60148	1410	222	N/A
60151	94	12	N/A
60152	262	49	N/A
60153	1421	330	N/A
60154	935	146	N/A
60155	463	130	N/A
60156	607	89	N/A
60157	58	10	N/A
60160	1518	479	N/A
60162	478	110	N/A
60163	262	65	N/A
60164	1587	341	N/A
60165	309	128	N/A
60169	969	254	N/A
60171	462	80	N/A
60172	671	152	N/A
60173	245	57	N/A
60174	1099	104	N/A
60175	568	59	N/A
60176	437	101	N/A
60177	615	170	N/A
60178	392	29	N/A
60181	887	168	N/A
60185	1622	476	N/A
60187	807	84	N/A
60188	1525	354	N/A
60189	700	63	N/A
60190	398	28	N/A
60191	510	129	N/A
60192	299	33	N/A
60193	891	156	N/A
60194	495	85	N/A
60195	87	12	N/A
60201	1839	255	N/A
