,zcta,covid_cases
0,10001,361
1,10002,1035
2,10003,445
3,10004,31
4,10005,61
5,10006,24
6,10007,54
7,10009,687
8,10010,258
9,10011,516
10,10012,160
11,10013,258
12,10014,292
13,10016,675
14,10017,140
15,10018,202
16,10019,589
17,10021,549
18,10022,336
19,10023,554
20,10024,678
21,10025,1281
22,10026,629
23,10027,1008
24,10028,461
25,10029,1789
26,10030,490
27,10031,1287
28,10032,1478
29,10033,1310
30,10034,695
31,10035,933
32,10036,408
33,10037,531
34,10038,246
35,10039,508
36,10040,1091
37,10044,232
38,10065,326
39,10069,54
40,10075,418
41,10128,626
42,10280,50
43,10282,70
44,10301,1166
45,10302,633
46,10303,852
47,10304,1369
48,10305,1220
49,10306,1428
50,10307,374
51,10308,625
52,10309,830
53,10310,715
54,10312,1482
55,10314,2604
56,10451,1587
57,10452,2332
58,10453,2321
59,10454,1116
60,10455,1251
61,10456,2443
62,10457,2049
63,10458,2004
64,10459,1463
65,10460,1614
66,10461,1855
67,10462,2231
68,10463,1963
69,10464,118
70,10465,1468
71,10466,2360
72,10467,3299
73,10468,2685
74,10469,2952
75,10470,443
76,10471,778
77,10472,1919
78,10473,1904
79,10474,320
80,10475,1679
81,11004,572
82,11101,618
83,11102,598
84,11103,562
85,11104,487
86,11105,483
87,11106,632
88,11109,47
89,11201,676
90,11203,2015
91,11204,2002
92,11205,715
93,11206,1582
94,11207,2038
95,11208,2337
96,11209,1111
97,11210,1647
98,11211,2048
99,11212,1830
100,11213,1366
101,11214,1498
102,11215,613
103,11216,716
104,11217,613
105,11218,1672
106,11219,3000
107,11220,1503
108,11221,1261
109,11222,436
110,11223,1679
111,11224,1138
112,11225,1133
113,11226,2206
114,11228,649
115,11229,1747
116,11230,2305
117,11231,421
118,11232,519
119,11233,1228
120,11234,2213
121,11235,2010
122,11236,2666
123,11237,943
124,11238,753
125,11239,505
126,11354,1152
127,11355,1251
128,11356,544
129,11357,798
130,11358,561
131,11360,309
132,11361,443
133,11362,304
134,11363,97
135,11364,459
136,11365,821
137,11366,385
138,11367,1014
139,11368,4435
140,11369,1570
141,11370,1308
142,11372,2464
143,11373,3177
144,11374,1060
145,11375,1486
146,11377,2174
147,11378,722
148,11379,792
149,11385,2114
150,11411,675
151,11412,1220
152,11413,1292
153,11414,796
154,11415,526
155,11416,696
156,11417,876
157,11418,1070
158,11419,1165
159,11420,1337
160,11421,1171
161,11422,962
162,11423,1060
163,11426,491
164,11427,772
165,11428,662
166,11429,920
167,11432,1764
168,11433,927
169,11434,2041
170,11435,1601
171,11436,512
172,11691,2271
173,11692,586
174,11693,322
175,11694,695
176,11697,107
