,zcta,covid_cases
9,60641,1250.0
10,60629,2750.0
27,60661,37.0
80,60827,43.0
84,60652,792.0
118,60614,452.0
120,60638,964.0
123,60655,237.0
159,60645,967.0
200,60634,1245.0
204,60622,568.0
210,60640,713.0
228,60647,1165.0
280,60657,306.0
282,60644,1023.0
290,60631,267.0
291,60643,643.0
306,60625,1184.0
345,60615,345.0
354,60604,18.0
363,60605,161.0
371,60654,133.0
377,60628,929.0
394,60636,616.0
414,60653,473.0
425,60626,869.0
436,60620,998.0
439,60612,617.0
449,60666,
451,60639,2816.0
457,60649,672.0
458,60624,751.0
464,60637,554.0
468,60613,341.0
469,60602,11.0
509,60707,179.0
511,60607,408.0
514,60621,488.0
534,60630,692.0
553,60611,123.0
564,60646,335.0
567,60616,386.0
568,60660,362.0
596,60601,67.0
601,60609,1517.0
612,60632,2665.0
620,60623,2871.0
646,60608,1475.0
647,60619,816.0
663,60656,233.0
669,60633,111.0
673,60651,1463.0
679,60610,227.0
680,60603,7.0
696,60618,1077.0
703,60606,45.0
705,60659,635.0
707,60617,987.0
711,60642,138.0
