,zcta,covid_cases
0,77002,280
1,77003,26
2,77004,94
3,77005,32
4,77006,67
5,77007,67
6,77008,61
7,77009,74
8,77010,1
9,77011,70
10,77012,54
11,77013,46
12,77014,96
13,77015,134
14,77016,97
15,77017,82
16,77018,52
17,77019,49
18,77020,76
19,77021,125
20,77022,60
21,77023,102
22,77024,72
23,77025,65
24,77026,94
25,77027,29
26,77028,76
27,77029,56
28,77030,72
29,77031,80
30,77032,86
31,77033,146
32,77034,78
33,77035,134
34,77036,409
35,77037,57
36,77038,61
37,77039,73
38,77040,114
39,77041,96
40,77042,108
41,77043,83
42,77044,138
43,77045,168
44,77046,3
45,77047,123
46,77048,81
47,77049,60
48,77050,15
49,77051,79
50,77053,95
51,77054,71
52,77055,173
53,77056,39
54,77057,200
55,77058,20
56,77059,18
57,77060,92
58,77061,54
59,77062,32
60,77063,116
61,77064,132
62,77065,55
63,77066,79
64,77067,107
65,77068,24
66,77069,30
67,77070,103
68,77071,103
69,77072,227
70,77073,159
71,77074,158
72,77075,94
73,77076,85
74,77077,87
75,77078,52
76,77079,45
77,77080,242
78,77081,177
79,77082,150
80,77083,140
81,77084,294
82,77085,75
83,77086,75
84,77087,172
85,77088,174
86,77089,93
87,77090,111
88,77091,112
89,77092,86
90,77093,125
91,77094,12
92,77095,95
93,77096,98
94,77098,21
95,77099,243
96,77336,2
97,77338,180
98,77339,71
99,77345,14
100,77346,119
101,77354,0
102,77355,0
103,77357,0
104,77362,0
105,77365,2
106,77373,145
107,77375,89
108,77377,59
109,77379,100
110,77380,1
111,77381,1
112,77382,0
113,77386,2
114,77388,56
115,77389,52
116,77396,160
117,77401,23
118,77407,1
119,77429,143
120,77433,143
121,77447,15
122,77449,365
123,77450,65
124,77477,9
125,77484,7
126,77489,27
127,77493,118
128,77494,28
129,77498,0
130,77502,79
131,77503,31
132,77504,51
133,77505,38
134,77506,79
135,77507,0
136,77520,65
137,77521,105
138,77523,1
139,77530,73
140,77532,37
141,77535,2
142,77536,61
143,77546,31
144,77547,16
145,77562,8
146,77565,0
147,77571,75
148,77573,4
149,77581,5
150,77584,1
151,77586,24
152,77587,22
153,77598,35
