ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60616,10,03/01/2020,03/07/2020,,,,,3,3,6,5.5,,,0,0,0.0,0.0,54464,60616-10,POINT (-87.629531 41.844869)
60641,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,71023,60641-10,POINT (-87.746791 41.946682)
60660,10,03/01/2020,03/07/2020,,,,,0,0,0,0,,,0,0,0.0,0.0,43242,60660-10,POINT (-87.666362 41.991062)
60657,19,05/03/2020,05/09/2020,27,251,38,358.3,264,1590,377,2269.7,0.1,0.2,2,17,2.9,24.3,70052,60657-19,POINT (-87.658216 41.939715)
60605,19,05/03/2020,05/09/2020,12,141,44,512.4,142,858,516,3117.8,0.1,0.2,0,1,0.0,3.6,27519,60605-19,POINT (-87.623449 41.867824)
60656,15,04/05/2020,04/11/2020,29,64,105,232.1,179,490,649,1776.7,0.1,0.1,0,2,0.0,7.3,27579,60656-15,POINT (-87.817934 41.974566)
60631,15,04/05/2020,04/11/2020,39,77,132,260.8,186,559,630,1893.1,0.1,0.1,0,1,0.0,3.4,29529,60631-15,POINT (-87.813371 41.995019)
60611,16,04/12/2020,04/18/2020,10,74,31,228.2,103,460,318,1418.6,0.1,0.2,0,0,0.0,0.0,32426,60611-16,POINT (-87.620291 41.894734)
60608,15,04/05/2020,04/11/2020,123,280,155,353.5,324,815,409,1029,0.4,0.4,3,4,3.8,5.1,79205,60608-15,POINT (-87.670366 41.849879)
60641,21,05/17/2020,05/23/2020,191,1250,269,1760,750,4563,1056,6424.7,0.2,0.3,2,38,2.8,53.5,71023,60641-21,POINT (-87.746791 41.946682)
60629,21,05/17/2020,05/23/2020,359,2750,321,2458.6,1252,7583,1119,6779.6,0.3,0.4,9,57,8.0,51.0,111850,60629-21,POINT (-87.711565 41.777061)
