ZipCode	Case Count	Total Population	Proportional Population	Cases per 100,000 Residents
63101	12	3307	3307	362.866646507
63102	12	2201	2201	545.206724216
63103	84	8307	8307	1011.19537739
63104	89	19913	19913	446.944207302
63106	100	11409	11409	876.501007976
63107	73	9490	9490.00000001	769.230769231
63108	187	20704	20704	903.207109737
63109	74	26562	26562	278.593479407
63110	57	18208	18208	313.049209139
63111	83	21141	21141	392.602052883
63112	110	18744	18744	586.854460094
63113	182	11371	11371	1600.56283528
63115	152	18213	18213	834.568714654
63116	254	44290	44290	573.492887785
63118	123	28324	28324	434.260697642
63120	41	8691	8090.5875385	506.76168407
63123	9	51130	2566.18673154	350.714893342
63136	25	45411	1866.3590392	1339.50649366
63137	5	20039	6110.56786285	81.8254538694
63139	88	21933	21933	401.221903068
63147	126	9053	9053	1391.80382194
