,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,10001,"22,924",472,526,712,"1,161","2,068","5,810","3,219","2,978","1,153","1,425","1,593","1,348",459,36.7,-,"21,214","1,983","20,941","19,768","17,985","4,231","3,400","22,924","11,671","10,763","1,448","11,253","10,178","1,952","22,924","22,326","14,422","1,413",36,"5,774",20,661,598,"14,957","1,687",271,"6,048",24,713,"22,924","3,246","19,678","12,182","1,289",36,"5,731",20
0,10002,"74,993","2,637","2,640","2,824","2,969","4,763","13,764","9,042","10,284","4,882","5,378","7,711","5,125","2,974",43.6,-,"66,892","9,965","65,028","63,375","59,160","18,667","15,810","74,993","36,230","31,025","6,733","38,763","34,003","9,077","74,993","72,085","24,168","6,283",680,"31,089",24,"9,841","2,908","26,735","7,645","1,083","32,199",120,"10,233","74,993","20,390","54,603","16,472","5,249",329,"30,847",24
0,10003,"54,682","1,767",926,670,"7,496","5,587","13,818","7,578","4,904","2,683","2,820","3,440","2,134",859,32.3,-,"51,319","3,877","50,805","42,051","38,236","8,250","6,433","54,682","27,503","25,163","2,992","27,179","25,642","3,441","54,682","53,420","41,511","3,178",88,"7,373",55,"1,215","1,262","42,585","3,491",132,"8,143",256,"1,436","54,682","4,506","50,176","38,521","2,961",56,"7,366",55
0,10004,"3,028",125,51,117,80,108,786,571,638,137,187,167,33,28,37.1,-,"2,735",345,"2,683","2,648","2,547",374,228,"3,028","1,267","1,112",73,"1,761","1,571",155,"3,028","2,932","1,902",51,-,922,17,40,96,"1,997",67,5,996,18,41,"3,028",112,"2,916","1,834",47,-,899,17
0,10005,"8,831",522,302,176,199,"1,046","3,508","1,921",731,279,35,84,28,-,30.1,-,"7,831","1,107","7,724","7,579","6,586",115,112,"8,831","4,003","3,509",29,"4,828","4,215",83,"8,831","8,408","6,484",221,-,"1,497",-,206,423,"6,785",327,14,"1,823",-,309,"8,831",608,"8,223","6,132",219,-,"1,497",-
0,10006,"3,454",251,116,68,14,300,"1,439",680,260,200,110,16,-,-,31.8,-,"3,019",449,"3,005","3,005","2,705",43,16,"3,454","1,633","1,416",16,"1,821","1,589",-,"3,454","3,269","2,411",36,-,687,-,135,185,"2,596",71,-,801,-,190,"3,454",414,"3,040","2,183",36,-,687,-
0,10007,"7,023",539,526,296,116,223,"1,611","1,444","1,271",305,258,358,61,15,36.0,-,"5,662","1,412","5,611","5,520","5,323",510,434,"7,023","4,118","3,254",334,"2,905","2,357",100,"7,023","6,718","5,421",332,-,826,-,139,305,"5,701",387,43,"1,063",-,177,"7,023",580,"6,443","5,056",294,-,826,-
0,10009,"57,925","1,463","1,430","2,108","2,011","5,671","14,917","7,765","6,853","3,503","3,367","5,333","2,161","1,343",37.1,-,"52,924","6,448","51,477","50,467","45,242","10,661","8,837","57,925","26,519","23,167","3,468","31,406","28,310","5,369","57,925","55,855","35,817","5,431",71,"7,512",-,"7,024","2,070","37,689","6,539",504,"8,378",39,"7,190","57,925","14,347","43,578","29,677","4,936",38,"7,428",-
0,10010,"33,730","1,699",997,870,"1,761","3,076","8,774","5,201","3,673","1,855","1,101","2,894","1,165",664,34.7,-,"30,164","3,910","29,820","27,731","25,327","5,414","4,723","33,730","17,370","15,469","2,312","16,360","14,351","2,411","33,730","32,992","24,684","1,784",230,"5,859",-,435,738,"25,305","2,108",405,"6,279",46,532,"33,730","3,703","30,027","21,570","1,728",230,"5,773",-
0,10011,"50,472","1,546","1,352","1,087","1,235","2,826","12,374","8,168","6,202","3,968","3,548","4,570","2,603",993,40.6,-,"46,487","4,683","45,789","44,862","42,426","10,243","8,166","50,472","26,058","23,617","3,769","24,414","22,172","4,397","50,472","48,716","40,331","2,819",56,"4,627",5,878,"1,756","41,915","3,582",339,"5,559",5,941,"50,472","5,704","44,768","36,075","2,382",-,"4,627",5
