,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,53142,,5.4,7.2,7.4,6.9,5.8,11.8,14.3,14.5,7.4,5.8,8.2,4.1,1.4,,,80.1,24.8,75.2,72.1,67.4,17.2,13.7,,48.1,76.4,12.2,51.9,74.1,15.1,,96.6,84.4,6.2,0.4,3.3,,2.3,3.4,87.8,7.6,0.8,4.5,,2.8,,12.3,87.7,76.2,5.5,0.4,3.3,
0,60002,,4.3,6.6,7.9,6.1,5.7,8.9,13.7,15.4,7.6,7.9,9.2,5.0,1.5,,,81.1,22.7,77.3,74.0,69.4,20.9,15.8,,50.2,76.3,14.2,49.8,78.3,17.4,,97.1,92.0,2.2,,1.4,,1.5,2.9,94.7,3.6,0.4,2.6,0.1,1.7,,6.9,93.1,86.7,2.2,,1.4,
0,60004,,5.9,6.4,6.5,5.4,3.5,11.6,13.1,13.7,7.6,7.8,9.1,5.8,3.6,,,81.2,22.8,77.2,75.2,72.3,22.9,18.5,,47.5,76.6,15.9,52.5,77.8,20.8,,98.1,84.6,0.9,0.1,9.8,0.1,2.6,1.9,86.4,1.4,0.2,10.7,0.2,3.1,,7.9,92.1,80.0,0.8,0.1,9.8,
0,60005,,5.6,6.0,5.6,4.3,3.9,13.6,12.9,14.4,6.4,6.9,10.8,5.5,4.2,,,82.9,19.8,80.2,77.9,74.7,24.9,20.5,,50.9,78.1,16.0,49.1,82.4,25.1,,98.8,83.3,2.5,0.3,9.2,,3.5,1.2,84.4,3.0,0.5,10.0,,3.7,,10.7,89.3,76.8,2.3,,9.2,
0,60007,,5.0,5.2,5.4,4.3,5.4,13.2,13.3,14.1,8.0,8.0,10.2,5.9,2.1,,,84.5,18.4,81.6,79.2,74.8,22.3,18.2,,49.4,80.6,15.1,50.6,82.6,21.2,,97.2,82.5,1.2,0.1,10.1,0.1,3.3,2.8,85.1,1.6,0.7,11.0,0.1,4.5,,12.0,88.0,75.1,1.2,0.1,10.1,
0,60008,,7.1,7.2,5.8,4.1,4.6,18.7,12.0,13.2,7.1,5.6,6.9,5.1,2.5,,,79.9,22.8,77.2,74.6,71.2,17.3,14.6,,48.6,78.6,12.4,51.4,75.9,16.7,,97.0,70.0,4.6,0.5,8.2,0.4,13.2,3.0,72.9,5.4,1.5,9.1,0.4,13.6,,24.9,75.1,60.4,4.6,,8.1,0.4
0,60010,,4.1,7.1,7.9,6.7,3.7,5.7,10.8,17.0,9.5,7.4,11.7,6.0,2.4,,,80.9,23.9,76.1,73.5,70.5,24.2,20.1,,48.3,74.7,19.2,51.7,77.5,20.9,,98.7,83.4,1.0,,12.5,0.3,1.5,1.3,84.7,1.3,0.3,13.3,0.3,1.6,,3.8,96.2,81.0,1.0,,12.5,0.3
0,60012,,2.8,4.2,8.3,9.8,5.6,5.8,9.8,21.2,9.7,8.7,8.8,3.4,2.0,,,84.7,21.6,78.4,73.7,69.3,18.7,14.2,,49.0,81.4,13.8,51.0,75.6,14.5,,98.9,95.5,1.0,,2.2,,0.1,1.1,96.6,1.0,,3.3,,0.1,,4.3,95.7,91.2,1.0,,2.2,
0,60013,,5.2,4.5,8.9,7.1,6.7,11.7,11.3,16.3,9.9,7.4,7.4,2.7,0.9,,,81.4,23.3,76.7,73.5,67.6,15.0,11.0,,50.8,75.5,10.3,49.2,77.8,11.7,,97.9,92.6,1.3,,2.9,,1.1,2.1,94.7,2.3,0.2,3.7,,1.2,,8.7,91.3,85.3,1.3,,2.9,
0,60014,,5.8,6.1,7.5,6.9,5.8,11.3,12.5,17.1,8.4,5.6,7.3,4.1,1.6,,,80.6,24.2,75.8,72.6,68.0,16.2,13.0,,50.3,74.7,11.9,49.7,77.0,14.2,,98.6,93.1,1.3,0.2,2.4,,1.6,1.4,94.4,1.8,0.7,2.8,,1.6,,12.3,87.7,82.2,1.3,0.2,2.4,
