,zipcode,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,10001,"14,141","12,431","3,253","9,178",1.75,1.76,"1,710",7,653,590,"3,260",0.2,"9,831",6.6,"5,707","16,143","14,141",228,185,43,224,104,408,"1,095","12,082",-,-,-,"14,141","2,289","2,492",292,486,274,"3,204",446,383,"4,275","12,431","7,397","2,771","1,205","1,058","12,431","10,401","1,778",235,17,"12,431","3,602",182,"5,896","1,614",-,-,-,377,760,"12,431",96,106,155,"12,431","12,047",97,287,"3,253",440,485,416,71,135,319,323,459,605,"$343,400","$985,076","3,253","1,260",423,"$3,447","1,993",243,$246,"9,178","9,015",163,"$2,065","$2,184","3,856","3,491"
0,10002,"35,724","33,540","4,470","29,070",2.08,2.20,"2,184",61,604,746,"4,531",1.3,"29,674",2.0,"9,291","63,915","35,724",314,222,92,367,665,"2,048","5,340","26,971",8,11,-,"35,724",434,"1,344",952,"1,450","4,084","5,327","4,842","3,405","13,886","33,540","11,838","8,923","4,820","7,959","33,540","27,689","5,359",425,67,"33,540","11,685",571,"11,610","7,558",18,-,-,"1,095","1,003","33,540",57,240,"3,208","33,540","30,771","1,633","1,136","4,470",347,59,14,12,134,630,"2,320",805,149,"$665,200","$756,820","4,470","1,946",451,"$2,585","2,524",456,$451,"29,070","28,758",312,$963,"$1,183","14,442","14,396"
0,10003,"30,876","26,124","8,605","17,519",1.85,1.63,"4,752",169,"1,498","1,601","8,774",1.9,"19,017",7.9,"15,943","28,541","30,876",696,490,206,479,866,"2,243","4,516","22,076",-,-,-,"30,876",328,"1,023",552,"1,111","1,549","5,335","3,278","1,499","16,201","26,124","13,897","4,465","3,087","4,675","26,124","20,198","5,198",456,272,"26,124","11,963",704,"6,271","5,413",-,26,16,"1,122",609,"26,124",67,208,"1,353","26,124","25,215",281,628,"8,605",134,71,31,33,271,677,"3,080","2,283","2,025","$1,001,200","$1,533,271","8,605","4,295",780,"$2,958","4,310",763,"$1,097","17,519","17,213",306,"$2,298","$2,242","7,042","8,586"
0,10004,"2,139","1,659",635,"1,024",2.06,1.68,480,107,71,97,742,14.4,"1,095",6.5,"1,306","1,718","2,139",22,22,-,-,44,24,34,"2,015",-,-,-,"2,139",-,413,103,165,43,36,24,52,"1,303","1,659","1,072",489,45,53,"1,659","1,247",327,71,14,"1,659",430,20,"1,047",99,-,-,-,8,55,"1,659",-,-,42,"1,659","1,595",19,45,635,-,-,4,-,-,80,176,163,212,"$1,640,600","$1,901,055",635,422,124,"$4,001",213,15,$877,"1,024","1,002",22,"$3,235","$3,171",319,66
0,10005,"5,585","4,374",859,"3,515",2.12,1.99,"1,211",81,277,433,940,8.6,"3,792",7.3,"1,820","6,994","5,585",22,22,-,3,-,8,38,"5,514",-,-,-,"5,585",86,700,262,404,610,281,276,64,"2,902","4,374","3,977",324,48,25,"4,374","3,746",559,66,3,"4,374",749,49,"3,356",12,-,-,-,140,68,"4,374",40,-,122,"4,374","3,793",117,464,859,78,-,-,-,-,94,102,422,163,"$1,415,400","$1,339,678",859,630,318,"$4,001",229,40,"$1,465","3,515","3,461",54,"$3,226","$3,259","1,111",75
0,10006,"2,343","1,794",306,"1,488",1.77,1.96,549,-,84,193,306,-,"1,572",5.3,542,"2,912","2,343",26,26,-,-,29,36,56,"2,196",-,-,-,"2,343",90,166,319,38,91,171,-,58,"1,410","1,794","1,406",378,10,-,"1,794","1,452",266,76,-,"1,794",511,-,"1,043",89,-,-,-,17,134,"1,794",13,-,115,"1,794","1,599",61,134,306,-,-,-,-,-,-,121,138,47,"$1,140,400","$1,233,611",306,117,51,"$4,001",189,36,"$1,501","1,488","1,471",17,"$3,229","$3,204",557,133
0,10007,"3,366","2,731",968,"1,763",2.72,2.00,635,67,59,324,"1,035",6.5,"1,822",3.2,"2,630","3,526","3,366",15,-,15,31,159,229,255,"2,677",-,-,-,"3,366",67,955,325,626,87,293,48,14,951,"2,731","1,713",696,209,113,"2,731","2,007",632,78,14,"2,731","1,043",13,"1,301",178,-,-,-,152,44,"2,731",-,40,75,"2,731","2,558",135,38,968,81,16,-,-,15,15,104,200,537,"$2,000,001","$2,581,045",968,659,93,"$4,001",309,72,"$1,501","1,763","1,736",27,"$3,394","$2,997",487,360
0,10009,"31,293","29,728","1,882","27,846",1.98,1.92,"1,565",21,706,397,"1,903",1.1,"28,552",2.5,"3,733","53,598","31,293",177,164,13,152,419,"2,303","5,611","22,614",17,-,1,"31,293",371,"1,064","1,328","1,191","1,503","2,883","3,771","8,739","10,443","29,728","13,538","5,170","4,264","6,756","29,728","24,227","5,071",397,33,"29,728","10,691",338,"7,966","6,608",-,-,52,"2,922","1,151","29,728",50,153,"3,290","29,728","28,425",584,719,"1,882",267,60,130,51,17,257,678,296,126,"$608,300","$721,773","1,882",783,170,"$2,342","1,099",225,$642,"27,846","27,636",210,"$1,642","$1,791","12,660","14,396"
0,10010,"18,535","16,390","4,651","11,739",1.87,1.85,"2,145",133,911,487,"4,784",2.8,"12,650",7.2,"8,688","21,680","18,535",582,506,76,320,129,276,941,"16,247",-,40,-,"18,535",297,"1,836",633,"1,338","3,266","2,404","1,690","2,076","4,995","16,390","9,886","2,440","1,966","2,098","16,390","12,369","3,497",342,182,"16,390","6,629",224,"5,967","2,137",-,-,-,835,598,"16,390",63,173,188,"16,390","15,838",212,340,"4,651",12,77,59,56,116,571,"2,125",928,707,"$788,200","$1,213,573","4,651","2,655",874,"$3,826","1,996",390,"$1,005","11,739","11,523",216,"$2,590","$2,457","4,377","4,388"
0,10011,"33,707","29,128","10,947","18,181",1.81,1.60,"4,579",86,620,"2,260","11,033",0.8,"18,801",3.3,"19,835","29,153","33,707",972,473,499,572,805,"2,563","3,847","24,762",75,111,2,"33,707",660,"2,934",690,"1,065","1,518","5,458","2,415","1,879","17,088","29,128","13,821","7,131","3,493","4,683","29,128","23,194","5,304",374,256,"29,128","13,398",538,"6,629","6,800",-,-,-,570,"1,193","29,128",217,368,730,"29,128","27,857",588,683,"10,947",546,254,310,146,57,779,"3,583","2,230","3,042","$964,200","$1,568,478","10,947","5,722","1,375","$3,101","5,225",713,$969,"18,181","17,773",408,"$2,115","$2,124","6,585","8,701"
