,zipcode,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,53142,,94.6,76.1,23.9,,,5.4,16.5,9.8,11.8,,,,,77.1,22.4,,79.0,96.7,3.3,2.5,2.1,5.1,4.2,5.2,1.9,,,,1.7,18.2,16.3,9.1,16.0,9.5,12.6,4.6,12.1,,41.8,30.2,13.4,14.6,,4.0,28.6,44.3,23.1,,81.1,2.1,16.0,0.5,,0.2,,0.1,,,,0.2,1.3,,98.6,1.2,0.2,,2.0,8.8,24.1,24.8,27.7,10.6,1.3,0.5,0.2,,,,69.2,23.2,,30.8,17.3,,,95.5,4.5,,,42.6,76.0
0,60002,,85.2,79.6,20.4,,,14.8,9.8,4.8,61.8,,,,,80.0,19.9,,88.4,93.6,6.4,0.9,2.9,2.2,2.6,1.4,1.5,,,,1.0,24.9,18.1,8.2,14.7,8.9,11.2,5.3,7.7,,33.4,36.7,16.9,13.0,,2.7,28.8,44.1,24.4,,85.4,1.4,12.0,0.2,,0.2,,0.8,0.1,,0.1,0.2,1.9,,99.4,0.5,0.1,,3.6,4.2,16.2,24.6,33.5,15.8,1.5,0.4,0.2,,,,70.7,33.3,,29.3,17.2,,,94.7,5.3,,,41.0,78.1
0,60004,,96.1,79.0,21.0,,,3.9,3.3,32.7,13.4,,,,,79.0,19.9,,68.0,87.5,12.5,0.4,3.8,11.9,3.2,12.7,,,,,1.3,5.7,9.4,19.7,20.5,23.7,14.8,1.9,3.1,,38.0,25.7,15.0,21.3,,5.3,31.3,46.5,16.9,,86.0,1.2,11.7,,,,,0.5,0.6,,0.1,0.2,1.3,,98.6,1.0,0.4,,1.5,3.2,7.2,5.6,17.8,46.6,17.3,0.7,0.1,,,,62.2,27.9,,37.8,20.4,,,97.6,2.4,,,34.3,92.1
0,60005,,94.5,63.8,36.2,,,5.5,15.3,15.0,8.0,,,,,67.9,31.1,,50.5,91.2,8.8,1.1,1.9,9.1,5.4,29.9,1.8,0.2,,,1.3,5.3,5.5,11.8,27.2,25.6,15.6,2.6,5.1,,45.0,25.0,12.8,17.1,,8.2,36.4,43.6,11.9,,68.3,1.0,27.7,0.2,,,,1.8,0.9,,0.6,1.1,2.3,,97.8,1.7,0.4,,4.3,5.7,8.6,6.9,16.5,41.5,15.4,1.1,,,,,62.2,29.5,,37.8,19.2,,,97.2,2.8,,,39.2,78.4
0,60007,,96.0,74.2,25.8,,,4.0,10.5,32.2,9.4,,,,,77.6,21.7,,68.3,86.2,13.8,0.4,3.5,8.5,3.7,15.5,0.1,,,,0.3,2.4,9.4,21.5,29.8,21.2,13.1,1.4,1.0,,34.8,26.9,17.1,21.2,,5.6,32.3,43.1,19.0,,84.5,0.7,13.1,,,0.4,0.1,0.8,0.3,,0.1,1.1,2.3,,98.2,1.4,0.4,,2.1,4.7,6.2,12.2,37.4,33.5,3.7,0.2,0.1,,,,65.8,31.0,,34.2,12.4,,,98.4,1.6,,,45.7,94.3
0,60008,,95.2,67.6,32.4,,,4.8,9.4,1.7,,,,,,64.5,33.9,,57.2,85.0,15.0,0.6,4.0,5.9,7.1,25.2,,,,,0.2,3.0,8.4,12.1,25.1,20.8,26.6,2.4,1.4,,43.9,25.8,14.6,15.7,,4.3,36.1,46.6,13.0,,73.5,1.0,24.7,,,,,0.2,0.5,,0.1,2.2,1.5,,93.9,4.9,1.2,,2.6,9.8,7.7,19.3,36.0,19.1,4.8,0.2,0.4,,,,64.9,33.8,,35.1,21.2,,,96.4,3.6,,,39.6,90.8
0,60010,,92.6,90.2,9.8,,,7.4,34.0,13.9,13.6,,,,,91.4,8.0,,89.4,91.7,8.3,1.5,2.2,1.4,0.4,4.9,0.1,,,,2.0,13.9,12.5,23.3,20.1,11.3,7.9,2.3,6.7,,31.8,31.3,19.5,17.4,,3.3,19.4,45.1,32.3,,86.2,0.8,12.5,,,,,0.2,0.3,,0.2,0.2,1.1,,99.3,0.6,0.1,,1.1,0.3,1.8,3.2,8.7,29.8,45.4,7.0,2.6,,,,66.9,31.8,,33.1,22.3,,,91.0,9.0,,,42.0,67.7
0,60012,,94.6,91.9,8.1,,,5.4,53.7,12.4,,,,,,94.3,5.4,,94.4,96.7,3.3,,1.1,,,4.3,0.2,,,,0.8,21.5,18.2,24.0,17.7,7.0,5.7,0.6,4.5,,25.6,38.9,19.0,16.5,,3.8,9.3,51.8,35.2,,93.7,0.1,5.4,,,0.2,,0.2,0.4,,0.2,2.4,0.5,,99.0,0.7,0.3,,2.1,0.1,2.5,5.9,35.9,42.4,10.2,0.6,0.3,,,,77.0,27.0,,23.0,15.9,,,94.6,5.4,,,59.1,64.5
0,60013,,96.5,86.9,13.1,,,3.5,19.2,2.7,1.2,,,,,88.4,11.5,,93.9,86.7,13.3,0.6,1.1,1.7,1.0,1.6,0.1,,,,0.8,17.9,24.5,13.5,17.1,8.1,10.8,2.4,5.0,,30.2,34.3,22.0,13.4,,1.7,20.9,48.7,28.7,,94.8,0.3,4.7,,,0.1,,,0.1,,0.2,0.7,0.7,,99.0,0.8,0.2,,2.2,3.1,11.8,20.6,35.9,21.3,5.0,,0.2,,,,74.1,27.6,,25.9,10.8,,,93.8,6.2,,,31.5,86.6
0,60014,,94.4,77.6,22.4,,,5.6,19.4,12.1,14.6,,,,,77.8,21.6,,80.9,89.9,10.1,2.2,3.9,7.3,2.3,1.7,1.6,,,,1.5,12.2,26.5,12.5,18.4,9.7,10.1,1.9,7.1,,39.1,31.9,19.7,9.2,,3.0,24.3,47.1,25.7,,87.4,0.5,12.0,0.1,,,,0.1,,,,,0.8,,98.7,1.2,0.1,,2.8,4.8,12.7,20.7,34.6,20.6,3.2,0.2,0.3,,,,76.2,27.6,,23.8,17.7,,,95.8,4.2,,,41.6,86.9
