,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,22306,401,"35,279","2,907","2,546","2,715","2,042","1,995","5,860","5,327","4,551","1,704","1,980","2,403",877,372,34.5,-,"27,111","9,529","25,750","24,824","23,074","4,924","3,652","35,279","17,949","12,707","1,987","17,330","13,043","1,665","35,279","33,874","19,507","7,222",48,"2,874",-,"4,223","1,405","20,574","8,018",411,"3,357",116,"4,511","35,279","12,780","22,499","11,209","7,055",48,"2,874",-
0,22305,370,"17,783","2,076","1,200",617,638,978,"4,135","3,454","2,147",760,560,850,304,64,33.3,-,"13,890","4,299","13,484","13,208","12,274","1,550","1,218","17,783","8,770","6,574",606,"9,013","6,910",612,"17,783","17,292","11,136","2,480",8,962,-,"2,706",491,"11,519","2,681",117,"1,193",26,"2,758","17,783","6,288","11,495","7,761","2,288",-,962,-
0,22304,352,"48,211","3,292","2,208","2,072","1,999","2,972","10,405","8,138","6,311","3,141","2,363","3,169","1,541",600,36.2,-,"40,639","8,840","39,371","38,214","35,668","6,771","5,310","48,211","22,885","18,093","2,067","25,326","21,278","3,243","48,211","44,697","25,263","13,850",-,"4,017",41,"1,526","3,514","28,525","15,399",436,"5,316",135,"2,208","48,211","8,261","39,950","19,811","13,448",-,"3,971",13
0,22309,311,"36,325","3,087","3,149","2,437","1,956","2,437","5,303","4,949","5,108","2,434","1,743","2,194","1,094",434,34.6,-,"27,652","9,886","26,439","25,401","23,259","4,800","3,722","36,325","18,088","13,039","1,652","18,237","13,400","2,070","36,325","33,624","19,802","8,479",38,"2,975",64,"2,266","2,701","21,979","9,848",528,"3,820",304,"2,716","36,325","11,879","24,446","11,097","8,463",28,"2,975",64
0,22312,250,"33,786","2,545","2,028","1,390","1,891","2,461","5,935","5,500","4,508","2,184","1,978","2,217",936,213,36.2,-,"27,823","6,928","26,858","25,508","23,471","4,500","3,366","33,786","17,010","13,539","1,585","16,776","13,319","1,781","33,786","31,561","15,165","9,369",173,"5,044",16,"1,794","2,225","17,240","9,754",673,"5,884",69,"2,489","33,786","8,129","25,657","10,159","9,237",8,"5,044",16
0,22311,219,"18,952","1,636","1,255",748,601,759,"4,337","4,068","2,083",727,926,893,423,496,35.2,-,"15,313","3,954","14,998","14,577","13,953","2,327","1,812","18,952","9,756","7,677",765,"9,196","7,321","1,047","18,952","17,841","9,518","6,087",48,"1,304",-,884,"1,111","10,565","6,709",84,"1,842",22,"1,093","18,952","4,610","14,342","6,281","6,019",-,"1,304",-
0,22310,166,"32,195","2,124","1,931","1,929","1,598","1,899","4,640","5,221","4,697","2,514","1,741","2,192","1,419",290,39.0,-,"26,211","6,980","25,215","24,379","22,714","4,857","3,901","32,195","15,423","11,927","1,659","16,772","13,288","2,242","32,195","30,328","19,448","5,195",9,"4,688",27,961,"1,867","21,147","5,849",288,"5,624",112,"1,161","32,195","5,092","27,103","15,973","5,002",-,"4,681",27
0,22314,123,"33,926","2,011",958,980,544,"1,266","8,450","5,582","4,892","2,265","1,892","3,533","1,126",427,39.0,-,"29,977","4,291","29,635","29,216","28,167","6,017","5,086","33,926","15,943","13,981","2,354","17,983","15,654","2,732","33,926","32,737","25,710","4,744",75,"1,614",7,587,"1,189","26,754","5,229",412,"2,077",21,659,"33,926","2,444","31,482","24,005","4,680",39,"1,553",7
0,22302,114,"17,776",927,949,675,767,702,"3,712","3,222","2,664",969,"1,192","1,259",439,299,37.8,-,"15,225","3,144","14,632","14,265","13,756","2,772","1,997","17,776","8,300","6,633",743,"9,476","7,999","1,254","17,776","17,003","12,836","2,442",8,891,7,819,773,"13,389","2,845",198,"1,151",20,"1,106","17,776","2,892","14,884","11,095","2,418",-,891,7
0,22303,84,"14,504",829,633,441,429,"1,136","3,770","2,427","1,658",721,773,"1,010",532,145,35.0,-,"12,601","2,229","12,275","12,012","11,036","2,167","1,687","14,504","7,391","6,206",735,"7,113","6,069",952,"14,504","14,073","8,562","2,307",-,"1,820",-,"1,384",431,"8,953","2,494",47,"2,063",9,"1,406","14,504","2,740","11,764","7,315","2,224",-,"1,800",-
0,22315,60,"29,110","2,239","1,905","1,545","1,383","1,106","4,848","4,519","4,789","2,205","1,563","1,962",754,292,37.7,-,"23,421","6,460","22,650","21,839","20,932","3,899","3,008","29,110","14,348","11,022","1,390","14,762","11,628","1,618","29,110","27,469","18,496","5,105",91,"3,086",-,691,"1,641","20,035","5,688",345,"4,105",16,763,"29,110","3,027","26,083","16,549","4,961",74,"3,022",-
0,22301,41,"13,569","1,132",698,725,502,219,"2,694","2,825","2,175",886,506,793,278,136,37.2,-,"11,014","2,972","10,597","10,512","10,293","1,544","1,207","13,569","6,430","5,066",592,"7,139","5,531",615,"13,569","13,085","11,734",646,53,341,13,298,484,"12,212",769,99,576,32,401,"13,569","1,314","12,255","10,862",634,53,341,13
0,22307,40,"9,962",566,544,581,490,385,"1,157","1,285","1,635",788,737,956,555,283,44.8,-,"8,271","1,976","7,986","7,689","7,396","2,278","1,794","9,962","4,438","3,531",778,"5,524","4,455","1,016","9,962","9,725","8,667",309,26,439,21,263,237,"8,888",381,67,571,29,263,"9,962",992,"8,970","7,994",299,13,416,8
