,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,22306,401,"12,581","11,813","5,619","6,194",2.98,2.95,768,42,144,-,"5,661",0.7,"6,338",2.3,"16,726","18,276","12,581","5,724","3,915","1,809",105,313,988,"3,490",889,"1,072",-,85,"12,581",387,"1,142","1,214","2,117","3,432","2,273","1,250",508,258,"11,813","6,481","2,913","1,183","1,236","11,813","1,293","4,433","4,130","1,957","11,813","6,656",134,"4,683",309,-,-,-,-,31,"11,813",75,118,305,"11,813","10,671",649,493,"5,619",373,303,71,47,470,"2,329","1,948",68,10,"$436,800","$439,561","5,619","4,119","1,243","$2,547","1,500",299,$782,"6,194","5,989",205,"$1,432","$1,379","3,062","4,836"
0,22305,370,"7,150","6,825","2,617","4,208",2.51,2.66,325,-,135,58,"2,617",-,"4,343",3.1,"6,565","11,209","7,150","3,075","1,440","1,635",80,544,819,640,"1,965",27,-,4,"7,150",425,572,688,416,414,"1,212","1,357","1,077",989,"6,825","4,356","1,495",499,475,"6,825",916,"3,339","2,022",548,"6,825","3,361",101,"3,144",157,-,-,19,27,16,"6,825",-,-,445,"6,825","6,308",200,317,"2,617",25,9,-,28,226,489,"1,635",192,13,"$618,200","$613,500","2,617","2,094",470,"$2,757",523,52,$927,"4,208","4,112",96,"$1,669","$1,709","1,971","3,406"
0,22304,352,"23,689","21,304","8,662","12,642",2.10,2.36,"2,385",177,702,160,"8,839",2.0,"13,344",5.3,"18,194","29,802","23,689","6,245","2,257","3,988",244,280,"2,193","3,706","10,996",7,18,-,"23,689",376,"2,275","2,853","2,889","7,269","4,532","2,002","1,155",338,"21,304","13,643","4,987","1,362","1,312","21,304","1,887","10,429","7,291","1,697","21,304","9,992",241,"10,586",149,-,10,-,105,221,"21,304",116,143,500,"21,304","20,197",731,376,"8,662",169,26,202,"1,071","2,144","2,313","2,335",359,43,"$350,600","$423,075","8,662","6,812","1,915","$2,357","1,850",273,$900,"12,642","12,397",245,"$1,629","$1,605","5,795","10,770"
0,22309,311,"12,370","11,526","7,358","4,168",3.23,3.00,844,92,152,29,"7,450",1.2,"4,320",3.5,"23,799","12,515","12,370","8,937","5,456","3,481",130,255,601,"2,034",258,155,-,13,"12,370",100,957,465,"2,278","3,218","3,490","1,345",348,169,"11,526","5,672","3,066","1,154","1,634","11,526",831,"3,700","4,363","2,632","11,526","5,088",79,"5,691",631,-,11,-,13,13,"11,526",156,107,89,"11,526","10,722",694,110,"7,358",249,114,228,661,729,"2,468","2,614",243,52,"$430,800","$456,853","7,358","5,872","1,936","$2,326","1,486",147,$753,"4,168","4,061",107,"$1,537","$1,530","2,062","3,636"
0,22312,250,"12,342","11,507","5,821","5,686",2.65,3.22,835,60,89,51,"5,881",1.0,"5,775",1.5,"15,449","18,302","12,342","6,185","3,325","2,860",151,191,758,"2,842","2,204",11,-,1,"12,342",236,"1,215","1,277","2,292","2,009","2,968","1,825",382,138,"11,507","6,233","2,859","1,269","1,146","11,507",591,"4,550","4,597","1,769","11,507","6,678",101,"4,230",269,-,47,16,68,98,"11,507",61,87,263,"11,507","10,773",614,120,"5,821",119,48,137,310,592,"2,607","1,882",106,20,"$445,700","$459,690","5,821","4,365","1,185","$2,414","1,456",214,$749,"5,686","5,647",39,"$1,729","$1,717","3,498","5,082"
0,22311,219,"8,571","7,907","1,383","6,524",2.00,2.45,664,24,259,25,"1,407",1.7,"6,783",3.8,"2,762","16,000","8,571","1,590",603,987,50,200,775,"2,309","3,647",-,-,-,"8,571",67,482,"1,377",878,"1,292","3,402",921,121,31,"7,907","5,555","1,435",472,445,"7,907",940,"4,200","2,197",570,"7,907","4,630",245,"2,823",108,-,-,10,14,77,"7,907",12,91,235,"7,907","7,132",424,351,"1,383",6,-,7,30,239,354,747,-,-,"$519,400","$471,916","1,383","1,016",301,"$2,706",367,39,$756,"6,524","6,502",22,"$1,556","$1,627","2,904","5,970"
0,22310,166,"11,847","11,437","8,762","2,675",2.92,2.47,410,73,66,-,"8,835",0.8,"2,741",2.4,"25,579","6,603","11,847","9,300","6,312","2,988",41,252,553,"1,280",421,-,-,-,"11,847",252,717,"2,179","2,980","1,546","1,497","2,387",222,67,"11,437","4,992","3,038","1,921","1,486","11,437",204,"3,546","5,034","2,653","11,437","6,472",121,"4,485",262,-,29,9,8,51,"11,437",-,15,94,"11,437","11,245",177,15,"8,762",177,31,23,149,518,"4,535","3,160",155,14,"$460,700","$484,414","8,762","6,932","1,877","$2,453","1,830",143,$707,"2,675","2,639",36,"$1,969","$2,039","1,242","2,174"
0,22314,123,"19,122","17,629","8,473","9,156",1.90,1.88,"1,493",81,367,238,"8,554",0.9,"9,523",3.9,"16,061","17,240","19,122","7,342","1,344","5,998",293,489,"1,271","1,215","8,508",4,-,-,"19,122","1,623","3,483","2,718","1,868","1,995","1,576","1,584","1,839","2,436","17,629","11,484","3,767","1,494",884,"17,629","1,697","10,175","5,036",721,"17,629","7,836",123,"9,093",348,-,10,-,133,86,"17,629",22,63,264,"17,629","17,296",175,158,"8,473",93,38,46,70,446,"1,532","4,702","1,349",197,"$673,800","$724,379","8,473","6,422","1,628","$3,106","2,051",222,"$1,113","9,156","8,997",159,"$1,924","$1,992","3,153","5,800"
0,22302,114,"8,872","8,067","4,311","3,756",2.13,2.18,805,58,122,50,"4,369",1.3,"3,878",3.1,"9,187","8,174","8,872","3,656","2,193","1,463",49,279,"1,200",937,"2,751",-,-,-,"8,872",161,"1,001",739,910,891,"1,010","1,443","2,242",475,"8,067","4,836","1,904",739,588,"8,067",464,"4,096","2,916",591,"8,067","3,671",130,"4,104",41,-,4,9,54,54,"8,067",16,11,145,"8,067","7,922",63,82,"4,311",48,-,78,158,814,"1,209","1,440",538,26,"$430,800","$579,570","4,311","3,453",822,"$2,552",858,148,$930,"3,756","3,701",55,"$1,782","$1,825","1,354","3,312"
0,22303,84,"7,577","6,902","3,026","3,876",2.32,1.93,675,101,293,58,"3,127",3.2,"4,169",7.0,"7,017","7,487","7,577","2,537","1,000","1,537",101,80,216,312,"4,305",26,-,3,"7,577",857,859,322,"1,422","1,255",831,949,"1,024",58,"6,902","4,720","1,345",389,448,"6,902",481,"3,495","2,280",646,"6,902","2,767",31,"4,007",10,-,-,-,18,69,"6,902",16,17,187,"6,902","6,575",187,140,"3,026",14,23,88,140,534,"1,610",556,17,44,"$390,500","$455,721","3,026","2,197",655,"$2,245",829,96,$864,"3,876","3,841",35,"$1,770","$1,804","1,449","3,467"
