,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,22306,401,,93.9,47.6,52.4,,,6.1,5.5,18.8,,,,,,47.4,51.8,,45.5,68.4,31.6,0.8,2.5,7.9,27.7,7.1,8.5,,,,3.1,9.1,9.6,16.8,27.3,18.1,9.9,4.0,2.1,,54.9,24.7,10.0,10.5,,10.9,37.5,35.0,16.6,,56.3,1.1,39.6,2.6,,,,,0.3,,0.6,1.0,2.6,,90.3,5.5,4.2,,6.6,5.4,1.3,0.8,8.4,41.4,34.7,1.2,0.2,,,,73.3,30.2,,26.7,19.9,,,96.7,3.3,,,49.4,78.1
0,22305,370,,95.5,38.3,61.7,,,4.5,,41.5,17.8,,,,,36.9,63.0,,43.0,46.8,53.2,1.1,7.6,11.5,9.0,27.5,0.4,,,,5.9,8.0,9.6,5.8,5.8,17.0,19.0,15.1,13.8,,63.8,21.9,7.3,7.0,,13.4,48.9,29.6,8.0,,49.2,1.5,46.1,2.3,,,0.3,0.4,0.2,,,,6.5,,92.4,2.9,4.6,,1.0,0.3,,1.1,8.6,18.7,62.5,7.3,0.5,,,,80.0,22.4,,20.0,9.9,,,97.7,2.3,,,46.8,80.9
0,22304,352,,89.9,40.7,59.3,,,10.1,7.4,29.4,6.7,,,,,37.7,61.8,,26.4,36.1,63.9,1.0,1.2,9.3,15.6,46.4,,0.1,,,1.6,9.6,12.0,12.2,30.7,19.1,8.5,4.9,1.4,,64.0,23.4,6.4,6.2,,8.9,49.0,34.2,8.0,,46.9,1.1,49.7,0.7,,,,0.5,1.0,,0.5,0.7,2.3,,94.8,3.4,1.8,,2.0,0.3,2.3,12.4,24.8,26.7,27.0,4.1,0.5,,,,78.6,28.1,,21.4,14.8,,,98.1,1.9,,,45.8,85.2
0,22309,311,,93.2,63.8,36.2,,,6.8,10.9,18.0,3.4,,,,,65.5,34.5,,72.2,61.0,39.0,1.1,2.1,4.9,16.4,2.1,1.3,,,,0.8,7.7,3.8,18.4,26.0,28.2,10.9,2.8,1.4,,49.2,26.6,10.0,14.2,,7.2,32.1,37.9,22.8,,44.1,0.7,49.4,5.5,,0.1,,0.1,0.1,,1.4,0.9,0.8,,93.0,6.0,1.0,,3.4,1.5,3.1,9.0,9.9,33.5,35.5,3.3,0.7,,,,79.8,33.0,,20.2,9.9,,,97.4,2.6,,,49.5,87.2
0,22312,250,,93.2,50.6,49.4,,,6.8,7.2,10.7,6.1,,,,,45.7,54.2,,50.1,53.8,46.2,1.2,1.5,6.1,23.0,17.9,0.1,,,,1.9,9.8,10.3,18.6,16.3,24.0,14.8,3.1,1.1,,54.2,24.8,11.0,10.0,,5.1,39.5,39.9,15.4,,58.0,0.9,36.8,2.3,,0.4,0.1,0.6,0.9,,0.5,0.8,2.3,,93.6,5.3,1.0,,2.0,0.8,2.4,5.3,10.2,44.8,32.3,1.8,0.3,,,,75.0,27.1,,25.0,14.7,,,99.3,0.7,,,61.5,89.4
0,22311,219,,92.3,17.5,82.5,,,7.7,3.6,39.0,3.8,,,,,14.6,84.4,,18.6,37.9,62.1,0.6,2.3,9.0,26.9,42.6,,,,,0.8,5.6,16.1,10.2,15.1,39.7,10.7,1.4,0.4,,70.3,18.1,6.0,5.6,,11.9,53.1,27.8,7.2,,58.6,3.1,35.7,1.4,,,0.1,0.2,1.0,,0.2,1.2,3.0,,90.2,5.4,4.4,,0.4,,0.5,2.2,17.3,25.6,54.0,,,,,,73.5,29.6,,26.5,10.6,,,99.7,0.3,,,44.5,91.5
0,22310,166,,96.5,76.6,23.4,,,3.5,17.8,16.1,,,,,,79.5,20.5,,78.5,67.9,32.1,0.3,2.1,4.7,10.8,3.6,,,,,2.1,6.1,18.4,25.2,13.0,12.6,20.1,1.9,0.6,,43.6,26.6,16.8,13.0,,1.8,31.0,44.0,23.2,,56.6,1.1,39.2,2.3,,0.3,0.1,0.1,0.4,,,0.1,0.8,,98.3,1.5,0.1,,2.0,0.4,0.3,1.7,5.9,51.8,36.1,1.8,0.2,,,,79.1,27.1,,20.9,7.8,,,98.7,1.3,,,46.4,81.3
0,22314,123,,92.2,48.1,51.9,,,7.8,5.4,24.6,15.9,,,,,47.3,50.8,,38.4,18.3,81.7,1.5,2.6,6.6,6.4,44.5,,,,,8.5,18.2,14.2,9.8,10.4,8.2,8.3,9.6,12.7,,65.1,21.4,8.5,5.0,,9.6,57.7,28.6,4.1,,44.4,0.7,51.6,2.0,,0.1,,0.8,0.5,,0.1,0.4,1.5,,98.1,1.0,0.9,,1.1,0.4,0.5,0.8,5.3,18.1,55.5,15.9,2.3,,,,75.8,25.4,,24.2,10.8,,,98.3,1.7,,,34.4,63.3
0,22302,114,,90.9,53.4,46.6,,,9.1,7.2,15.2,6.2,,,,,51.7,46.0,,41.2,60.0,40.0,0.6,3.1,13.5,10.6,31.0,,,,,1.8,11.3,8.3,10.3,10.0,11.4,16.3,25.3,5.4,,59.9,23.6,9.2,7.3,,5.8,50.8,36.1,7.3,,45.5,1.6,50.9,0.5,,,0.1,0.7,0.7,,0.2,0.1,1.8,,98.2,0.8,1.0,,1.1,,1.8,3.7,18.9,28.0,33.4,12.5,0.6,,,,80.1,23.8,,19.9,17.2,,,98.5,1.5,,,36.0,88.2
0,22303,84,,91.1,43.8,56.2,,,8.9,15.0,43.4,8.6,,,,,48.4,51.6,,33.5,39.4,60.6,1.3,1.1,2.9,4.1,56.8,0.3,,,,11.3,11.3,4.2,18.8,16.6,11.0,12.5,13.5,0.8,,68.4,19.5,5.6,6.5,,7.0,50.6,33.0,9.4,,40.1,0.4,58.1,0.1,,,,0.3,1.0,,0.2,0.2,2.7,,95.3,2.7,2.0,,0.5,0.8,2.9,4.6,17.6,53.2,18.4,0.6,1.5,,,,72.6,29.8,,27.4,11.6,,,99.1,0.9,,,37.4,89.4
