,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60641,1250.0,"71,023","4,627","4,325","4,270","4,194","4,336","12,472","10,315","9,431","4,742","4,406","4,540","2,382",983,35.9,-,"57,801","15,849","55,174","52,713","49,271","10,205","7,905","71,023","34,841","26,535","3,265","36,182","28,639","4,640","71,023","67,955","48,458","1,710",247,"3,293",45,"14,202","3,068","50,999","2,771",790,"4,431",147,"15,335","71,023","38,350","32,673","26,008","1,353",56,"3,215",35
0,60629,2750.0,"111,850","8,884","8,523","9,107","9,440","8,553","17,686","15,688","12,455","5,530","4,857","7,367","2,801",959,31.2,-,"85,336","32,380","79,470","74,132","67,343","13,891","11,127","111,850","54,815","39,108","4,968","57,035","40,362","6,159","111,850","109,654","47,029","22,078",309,491,10,"39,737","2,196","48,280","23,214","1,053",657,225,"40,874","111,850","79,432","32,418","9,203","21,865",31,404,-
0,60661,37.0,"9,926",447,97,53,160,"1,032","4,584","2,121",739,301,175,206,11,-,30.8,-,"9,329",683,"9,243","9,110","8,137",253,217,"9,926","5,109","4,725",95,"4,817","4,518",122,"9,926","9,612","5,687",357,-,"3,553",-,15,314,"5,952",438,55,"3,719",13,63,"9,926",640,"9,286","5,091",357,-,"3,553",-
0,60827,43.0,"28,577","2,591","2,159","2,252","2,039","2,093","4,030","3,565","3,507","1,872","1,706","1,934",655,174,32.7,-,"21,575","8,345","20,232","19,116","17,443","3,730","2,763","28,577","12,911","8,503","1,189","15,666","11,729","1,574","28,577","27,998","1,445","26,242",26,46,-,239,579,"1,961","26,627",243,63,-,290,"28,577","1,222","27,355",760,"26,109",26,46,-
0,60652,792.0,"43,907","2,769","3,337","3,798","3,066","3,463","5,141","5,940","6,179","3,105","2,369","2,977","1,152",611,35.7,-,"34,003","11,679","32,228","30,557","27,474","5,932","4,740","43,907","20,784","15,008","2,216","23,123","17,220","2,524","43,907","42,553","11,948","20,699",86,394,14,"9,412","1,354","12,807","21,572",496,659,24,"10,080","43,907","17,479","26,428","4,472","20,590",24,373,-
0,60614,452.0,"71,308","3,908","2,719","2,311","3,288","8,317","23,622","8,789","6,585","3,001","2,589","3,828","1,819",532,30.3,-,"62,370","9,924","61,384","57,940","50,765","7,526","6,179","71,308","35,945","30,758","2,881","35,363","30,626","3,298","71,308","69,108","60,333","2,862",22,"5,309",19,563,"2,200","62,400","3,344",374,"6,737",116,768,"71,308","4,317","66,991","56,762","2,794",22,"5,282",19
0,60638,964.0,"58,797","4,023","3,885","4,325","3,453","2,920","8,271","8,505","7,774","3,881","3,521","4,642","2,434","1,163",37.7,-,"46,564","14,300","44,497","42,695","40,191","10,254","8,239","58,797","29,033","22,112","3,357","29,764","22,385","4,882","58,797","56,704","42,585","1,877",365,347,-,"11,530","2,093","44,576","2,349",656,558,75,"12,924","58,797","30,440","28,357","25,612","1,734",50,317,-
0,60655,237.0,"28,804","2,026","1,871","1,967","2,010","1,520","3,474","4,097","3,831","2,222","2,055","2,218",988,525,38.7,-,"22,940","7,015","21,789","20,534","19,410","5,019","3,731","28,804","13,876","10,538","1,785","14,928","11,251","1,946","28,804","28,523","25,773","1,976",-,421,-,353,281,"26,028","2,077",78,491,65,358,"28,804","2,390","26,414","23,795","1,913",-,421,-
0,60645,967.0,"47,732","4,329","3,379","3,050","3,117","2,315","7,274","6,575","5,996","2,206","2,927","3,726","1,931",907,35.6,-,"36,974","12,906","34,826","33,307","31,542","8,357","6,564","47,732","23,740","17,161","2,845","23,992","17,665","3,719","47,732","45,763","27,158","8,167",239,"7,803",-,"2,396","1,969","28,860","8,733",487,"9,045",45,"2,608","47,732","8,127","39,605","21,481","8,136",119,"7,766",-
0,60634,1245.0,"75,995","5,026","4,482","4,277","4,828","3,919","11,154","10,382","10,579","5,426","4,505","6,830","3,224","1,363",39.1,-,"62,210","16,581","59,414","56,570","53,463","14,008","11,417","75,995","36,934","28,885","4,993","39,061","30,529","6,424","75,995","74,543","59,649","1,654",337,"4,170",45,"8,688","1,452","60,691","2,117",523,"4,620",52,"9,485","75,995","29,065","46,930","41,060","1,337",117,"4,042",-
