,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,60641,1250.0,"27,332","24,773","12,793","11,980",3.20,2.48,"2,559",188,500,350,"12,981",1.4,"12,480",4.0,"40,992","29,712","27,332","10,092","9,355",737,"6,325","4,466","2,785","1,528","2,088",30,18,1,"27,332",208,930,578,632,"1,122","1,564","2,102","2,388","17,808","24,773","11,575","6,451","3,605","3,142","24,773","3,712","10,274","7,797","2,990","24,773","21,793",452,"1,728",10,7,8,9,425,341,"24,773",113,185,746,"24,773","23,910",457,406,"12,793",311,420,769,"1,291","4,380","4,390","1,005",126,101,"$284,100","$333,281","12,793","8,688","3,437","$2,070","4,105","1,150",$706,"11,980","11,627",353,"$1,016","$1,082","5,527","9,930"
0,60629,2750.0,"35,605","31,827","18,179","13,648",3.92,2.96,"3,778",388,"1,379",-,"18,567",2.1,"15,027",9.2,"71,223","40,452","35,605","19,708","19,390",318,"6,689","5,651","1,909",768,766,114,-,3,"35,605",13,450,623,"1,091","2,180","6,816","9,162","5,518","9,752","31,827","13,581","9,202","5,447","3,597","31,827","5,838","11,670","9,171","5,148","31,827","30,222",217,"1,174",15,10,-,11,56,122,"31,827",50,177,794,"31,827","30,115","1,286",426,"18,179",477,"1,977","5,158","6,091","3,984",307,136,49,-,"$159,400","$161,976","18,179","12,331","5,671","$1,470","5,848",972,$548,"13,648","13,325",323,$920,$960,"8,419","9,952"
0,60661,37.0,"6,740","5,911","1,716","4,195",1.70,1.65,829,49,324,17,"1,765",2.8,"4,519",7.2,"2,910","6,925","6,740",110,15,95,-,80,7,55,"6,474",14,-,2,"6,740",983,"2,506",654,"1,389",284,219,19,62,624,"5,911","4,931",899,70,11,"5,911","2,719","2,725",458,9,"5,911","3,355",106,"2,322",-,-,-,-,17,111,"5,911",-,43,138,"5,911","5,601",78,232,"1,716",22,-,-,16,437,957,284,-,-,"$364,000","$381,690","1,716","1,346",274,"$2,401",370,46,"$1,093","4,195","4,166",29,"$1,943","$2,025","1,260","3,500"
0,60827,43.0,"13,058","10,851","4,552","6,299",2.67,2.59,"2,207",166,521,-,"4,718",3.5,"6,820",7.6,"12,144","16,335","13,058","8,766","6,194","2,572",562,610,"1,643",959,411,107,-,8,"13,058",63,477,728,237,"1,434","2,509","3,426","2,977","1,207","10,851","4,973","2,971","1,509","1,398","10,851","2,722","4,873","2,258",998,"10,851","9,387",95,"1,226",7,-,-,9,29,98,"10,851",-,97,163,"10,851","10,455",353,43,"4,552",470,"2,085","1,340",365,229,-,38,-,25,"$89,200","$149,928","4,552","3,268","1,368","$1,321","1,284",424,$552,"6,299","6,180",119,$783,$798,"2,652","3,257"
0,60652,792.0,"14,153","13,370","10,898","2,472",3.31,3.07,783,159,197,31,"11,057",1.4,"2,669",7.4,"36,114","7,585","14,153","12,004","11,801",203,326,633,355,215,620,-,-,-,"14,153",154,344,346,205,"1,427","3,155","6,738","1,145",639,"13,370","4,027","4,200","3,467","1,676","13,370","1,162","4,279","5,069","2,860","13,370","12,331",104,878,-,-,-,-,8,49,"13,370",10,116,183,"13,370","12,946",393,31,"10,898",363,763,"2,580","4,076","2,635",347,44,61,29,"$168,700","$183,530","10,898","8,399","2,701","$1,522","2,499",420,$525,"2,472","2,464",8,"$1,120","$1,247","1,487","1,976"
0,60614,452.0,"36,451","33,584","14,969","18,615",2.32,1.75,"2,867",265,508,626,"15,234",1.7,"19,123",2.7,"34,739","32,659","36,451","7,109","3,801","3,308","1,822","5,117","4,122","2,697","15,467",117,-,3,"36,451","1,044","2,903","3,132","3,078","5,978","3,244","1,590",933,"14,549","33,584","22,915","5,977","2,566","2,126","33,584","10,025","16,299","6,320",940,"33,584","23,273",696,"8,504",58,4,-,-,516,533,"33,584",130,136,760,"33,584","33,193",147,244,"14,969",130,128,144,381,"1,519","3,846","5,465","2,095","1,261","$593,000","$811,895","14,969","10,862","2,583","$3,255","4,107",921,"$1,356","18,615","18,279",336,"$1,611","$1,682","6,460","14,112"
0,60638,964.0,"21,306","20,199","15,551","4,648",3.00,2.62,"1,107",191,244,44,"15,742",1.2,"4,892",5.0,"46,615","12,159","21,306","16,383","15,766",617,"1,182","1,386","1,653",411,216,65,10,3,"21,306",119,631,951,"1,046","1,915","3,840","8,722","1,945","2,137","20,199","6,376","5,793","3,160","4,870","20,199","1,784","7,184","8,192","3,039","20,199","18,546",174,"1,318",17,-,-,-,22,122,"20,199",36,52,166,"20,199","19,507",573,119,"15,551",406,712,"1,631","4,299","6,603","1,703",167,-,30,"$208,800","$209,807","15,551","9,508","3,044","$1,704","6,043",932,$554,"4,648","4,341",307,$980,"$1,048","1,838","3,561"
0,60655,237.0,"10,814","10,231","8,856","1,375",2.87,1.95,583,185,74,58,"9,041",2.0,"1,449",5.1,"25,397","2,675","10,814","9,343","9,238",105,93,393,327,167,485,6,-,1,"10,814",125,266,376,402,492,"1,259","4,228","2,638","1,028","10,231","2,541","2,801","2,008","2,881","10,231",442,"3,303","4,870","1,616","10,231","9,748",40,373,10,7,11,-,11,31,"10,231",8,35,124,"10,231","10,093",93,45,"8,856",183,171,448,"1,289","4,322","2,205",219,13,6,"$246,700","$253,655","8,856","6,170","1,240","$1,854","2,686",401,$620,"1,375","1,322",53,"$1,121","$1,201",432,"1,133"
0,60645,967.0,"17,988","16,255","8,221","8,034",2.72,3.04,"1,733",136,806,72,"8,357",1.6,"8,840",9.1,"22,388","24,417","17,988","5,149","4,035","1,114","1,068","2,998","3,155","2,021","3,525",54,18,3,"17,988",80,464,376,316,"1,628","2,371","3,821","2,412","6,520","16,255","7,995","4,443","1,944","1,873","16,255","2,537","7,956","4,802",960,"16,255","13,384",112,"2,394",52,-,-,-,134,179,"16,255",81,108,334,"16,255","15,038",980,237,"8,221",212,874,889,"1,089","1,511","2,960",599,79,8,"$273,200","$276,011","8,221","5,331","1,958","$1,973","2,890",763,$689,"8,034","7,861",173,"$1,100","$1,117","4,313","7,035"
0,60634,1245.0,"28,270","26,116","18,719","7,397",2.99,2.65,"2,154",242,208,134,"18,961",1.3,"7,605",2.7,"56,057","19,617","28,270","18,160","17,591",569,"3,070","2,311","2,421",581,"1,554",166,7,6,"28,270",256,"1,052","1,849","1,141","1,612","2,470","5,730","4,519","9,641","26,116","9,734","6,793","5,032","4,557","26,116","2,330","9,492","10,148","4,146","26,116","24,455",319,"1,096",22,9,14,-,100,101,"26,116",123,126,546,"26,116","25,264",605,247,"18,719",442,509,874,"2,640","9,295","4,597",277,45,40,"$252,000","$253,902","18,719","11,844","4,463","$1,869","6,875","1,355",$668,"7,397","6,957",440,"$1,083","$1,145","3,419","6,210"
