,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,60641,1250.0,,90.6,51.6,48.4,,,9.4,7.3,19.5,13.7,,,,,57.7,41.8,,36.9,92.7,7.3,23.1,16.3,10.2,5.6,7.6,0.1,0.1,,,0.8,3.4,2.1,2.3,4.1,5.7,7.7,8.7,65.2,,46.7,26.0,14.6,12.7,,15.0,41.5,31.5,12.1,,88.0,1.8,7.0,,,,,1.7,1.4,,0.5,0.7,3.0,,96.5,1.8,1.6,,2.4,3.3,6.0,10.1,34.2,34.3,7.9,1.0,0.8,,,,67.9,39.6,,32.1,28.0,,,97.1,2.9,,,46.1,82.9
0,60629,2750.0,,89.4,57.1,42.9,,,10.6,10.3,36.5,,,,,,63.7,36.2,,55.4,98.4,1.6,18.8,15.9,5.4,2.2,2.2,0.3,,,,,1.3,1.7,3.1,6.1,19.1,25.7,15.5,27.4,,42.7,28.9,17.1,11.3,,18.3,36.7,28.8,16.2,,95.0,0.7,3.7,,,,,0.2,0.4,,0.2,0.6,2.5,,94.6,4.0,1.3,,2.6,10.9,28.4,33.5,21.9,1.7,0.7,0.3,,,,,67.8,46.0,,32.2,16.6,,,97.6,2.4,,,61.7,72.9
0,60661,37.0,,87.7,29.0,71.0,,,12.3,5.9,39.1,2.1,,,,,29.3,69.8,,1.6,13.6,86.4,,1.2,0.1,0.8,96.1,0.2,,,,14.6,37.2,9.7,20.6,4.2,3.2,0.3,0.9,9.3,,83.4,15.2,1.2,0.2,,46.0,46.1,7.7,0.2,,56.8,1.8,39.3,,,,,0.3,1.9,,,0.7,2.3,,94.8,1.3,3.9,,1.3,,,0.9,25.5,55.8,16.6,,,,,,78.4,20.4,,21.6,12.4,,,99.3,0.7,,,30.0,83.4
0,60827,43.0,,83.1,42.0,58.0,,,16.9,7.5,23.6,,,,,,42.5,57.2,,67.1,70.7,29.3,4.3,4.7,12.6,7.3,3.1,0.8,,,,0.5,3.7,5.6,1.8,11.0,19.2,26.2,22.8,9.2,,45.8,27.4,13.9,12.9,,25.1,44.9,20.8,9.2,,86.5,0.9,11.3,0.1,,,0.1,0.3,0.9,,,0.9,1.5,,96.4,3.3,0.4,,10.3,45.8,29.4,8.0,5.0,,0.8,,0.5,,,,71.8,41.9,,28.2,33.0,,,98.1,1.9,,,42.1,51.7
0,60652,792.0,,94.5,81.5,18.5,,,5.5,20.3,25.2,4.0,,,,,82.3,17.3,,84.8,98.3,1.7,2.3,4.5,2.5,1.5,4.4,,,,,1.1,2.4,2.4,1.4,10.1,22.3,47.6,8.1,4.5,,30.1,31.4,25.9,12.5,,8.7,32.0,37.9,21.4,,92.2,0.8,6.6,,,,,0.1,0.4,,0.1,0.9,1.4,,96.8,2.9,0.2,,3.3,7.0,23.7,37.4,24.2,3.2,0.4,0.6,0.3,,,,77.1,32.2,,22.9,16.8,,,99.7,0.3,,,60.2,79.9
0,60614,452.0,,92.1,44.6,55.4,,,7.9,9.2,17.7,21.8,,,,,48.7,45.8,,19.5,53.5,46.5,5.0,14.0,11.3,7.4,42.4,0.3,,,,2.9,8.0,8.6,8.4,16.4,8.9,4.4,2.6,39.9,,68.2,17.8,7.6,6.3,,29.9,48.5,18.8,2.8,,69.3,2.1,25.3,0.2,,,,1.5,1.6,,0.4,0.4,2.3,,98.8,0.4,0.7,,0.9,0.9,1.0,2.5,10.1,25.7,36.5,14.0,8.4,,,,72.6,23.8,,27.4,22.4,,,98.2,1.8,,,34.7,75.8
0,60638,964.0,,94.8,77.0,23.0,,,5.2,17.3,22.0,4.0,,,,,79.3,20.7,,76.9,96.2,3.8,5.5,6.5,7.8,1.9,1.0,0.3,,,,0.6,3.0,4.5,4.9,9.0,18.0,40.9,9.1,10.0,,31.6,28.7,15.6,24.1,,8.8,35.6,40.6,15.0,,91.8,0.9,6.5,0.1,,,,0.1,0.6,,0.2,0.3,0.8,,96.6,2.8,0.6,,2.6,4.6,10.5,27.6,42.5,11.0,1.1,,0.2,,,,61.1,32.0,,38.9,15.4,,,93.4,6.6,,,39.5,76.6
0,60655,237.0,,94.6,86.6,13.4,,,5.4,31.7,12.7,9.9,,,,,88.2,9.3,,86.4,98.9,1.1,0.9,3.6,3.0,1.5,4.5,0.1,,,,1.2,2.5,3.5,3.7,4.5,11.6,39.1,24.4,9.5,,24.8,27.4,19.6,28.2,,4.3,32.3,47.6,15.8,,95.3,0.4,3.6,0.1,0.1,0.1,,0.1,0.3,,0.1,0.3,1.2,,98.7,0.9,0.4,,2.1,1.9,5.1,14.6,48.8,24.9,2.5,0.1,0.1,,,,69.7,20.1,,30.3,14.9,,,96.1,3.9,,,31.4,82.4
0,60645,967.0,,90.4,50.6,49.4,,,9.6,7.8,46.5,4.2,,,,,46.9,51.2,,28.6,78.4,21.6,5.9,16.7,17.5,11.2,19.6,0.3,0.1,,,0.4,2.6,2.1,1.8,9.1,13.2,21.2,13.4,36.2,,49.2,27.3,12.0,11.5,,15.6,48.9,29.5,5.9,,82.3,0.7,14.7,0.3,,,,0.8,1.1,,0.5,0.7,2.1,,92.5,6.0,1.5,,2.6,10.6,10.8,13.2,18.4,36.0,7.3,1.0,0.1,,,,64.8,36.7,,35.2,26.4,,,97.8,2.2,,,53.7,87.6
0,60634,1245.0,,92.4,71.7,28.3,,,7.6,11.2,9.7,6.2,,,,,73.8,25.8,,64.2,96.9,3.1,10.9,8.2,8.6,2.1,5.5,0.6,,,,0.9,3.7,6.5,4.0,5.7,8.7,20.3,16.0,34.1,,37.3,26.0,19.3,17.4,,8.9,36.3,38.9,15.9,,93.6,1.2,4.2,0.1,,0.1,,0.4,0.4,,0.5,0.5,2.1,,96.7,2.3,0.9,,2.4,2.7,4.7,14.1,49.7,24.6,1.5,0.2,0.2,,,,63.3,37.7,,36.7,19.7,,,94.1,5.9,,,46.2,84.0
