,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,53142,"32,929","1,771","2,355","2,432","2,271","1,911","3,871","4,703","4,768","2,429","1,899","2,691","1,353",475,39.0,-,"26,371","8,163","24,766","23,741","22,189","5,667","4,519","32,929","15,827","12,092","1,936","17,102","12,674","2,583","32,929","31,817","27,786","2,044",136,"1,093",-,758,"1,112","28,898","2,488",262,"1,483",-,928,"32,929","4,055","28,874","25,077","1,811",136,"1,076",-
0,60002,"24,066","1,040","1,587","1,912","1,468","1,365","2,148","3,302","3,714","1,837","1,894","2,223","1,205",371,43.3,-,"19,527","5,458","18,608","17,798","16,694","5,020","3,799","24,066","12,076","9,214","1,715","11,990","9,394","2,084","24,066","23,380","22,140",525,10,344,-,361,686,"22,792",869,89,630,31,402,"24,066","1,662","22,404","20,862",525,4,344,-
0,60004,"50,915","3,008","3,263","3,324","2,735","1,776","5,906","6,678","6,987","3,874","3,948","4,636","2,929","1,851",43.0,-,"41,320","11,602","39,313","38,303","36,809","11,673","9,416","50,915","24,193","18,525","3,846","26,722","20,788","5,570","50,915","49,965","43,070",440,45,"5,002",64,"1,344",950,"43,996",738,79,"5,458",116,"1,597","50,915","4,013","46,902","40,720",411,29,"5,002",-
0,60005,"29,539","1,649","1,760","1,656","1,271","1,151","4,009","3,807","4,253","1,889","2,041","3,187","1,620","1,246",43.8,-,"24,474","5,843","23,696","23,007","22,052","7,364","6,053","29,539","15,040","11,747","2,407","14,499","11,949","3,646","29,539","29,186","24,618",735,75,"2,719",-,"1,039",353,"24,937",892,143,"2,961",-,"1,089","29,539","3,163","26,376","22,700",667,-,"2,705",-
0,60007,"33,420","1,655","1,736","1,791","1,428","1,821","4,414","4,444","4,715","2,661","2,672","3,409","1,965",709,43.8,-,"28,238","6,148","27,272","26,478","24,989","7,438","6,083","33,420","16,504","13,301","2,495","16,916","13,971","3,588","33,420","32,491","27,580",394,17,"3,365",24,"1,111",929,"28,444",532,245,"3,680",24,"1,500","33,420","4,020","29,400","25,084",387,17,"3,365",-
0,60008,"21,833","1,545","1,581","1,265",890,"1,002","4,076","2,624","2,887","1,555","1,218","1,512","1,123",555,37.4,-,"17,442","4,971","16,862","16,297","15,550","3,782","3,190","21,833","10,604","8,340","1,316","11,229","8,522","1,874","21,833","21,179","15,292","1,009",116,"1,791",92,"2,879",654,"15,923","1,179",325,"1,992",92,"2,976","21,833","5,430","16,403","13,178","1,009",-,"1,776",92
0,60010,"46,087","1,871","3,268","3,656","3,110","1,708","2,644","4,968","7,831","4,379","3,407","5,377","2,769","1,099",47.7,-,"37,292","11,010","35,077","33,884","32,474","11,138","9,245","46,087","22,253","16,615","4,262","23,834","18,462","4,983","46,087","45,477","38,421",462,13,"5,765",139,677,610,"39,013",593,138,"6,109",139,722,"46,087","1,763","44,324","37,344",456,13,"5,753",139
0,60012,"10,958",306,461,905,"1,079",613,632,"1,076","2,318","1,058",957,962,375,216,47.1,-,"9,286","2,363","8,595","8,081","7,594","2,048","1,553","10,958","5,366","4,368",743,"5,592","4,227",810,"10,958","10,835","10,463",115,-,244,-,13,123,"10,586",115,5,362,-,13,"10,958",474,"10,484","9,999",115,-,244,-
0,60013,"25,827","1,342","1,157","2,292","1,841","1,728","3,025","2,906","4,210","2,568","1,908","1,923",687,240,40.6,-,"21,036","6,030","19,797","18,970","17,467","3,881","2,850","25,827","13,124","9,914","1,358","12,703","9,883","1,492","25,827","25,285","23,919",323,-,758,-,285,542,"24,461",586,51,949,10,314,"25,827","2,240","23,587","22,033",323,-,758,-
0,60014,"48,443","2,823","2,942","3,618","3,344","2,795","5,469","6,070","8,296","4,045","2,731","3,537","1,998",775,40.7,-,"39,060","11,707","36,736","35,193","32,921","7,855","6,310","48,443","24,343","18,176","2,888","24,100","18,560","3,422","48,443","47,777","45,099",639,110,"1,147",14,768,666,"45,754",860,360,"1,337",17,790,"48,443","5,975","42,468","39,835",639,110,"1,147",14
0,60015,"27,452","1,362","1,819","2,237","2,278","1,602","1,656","3,403","4,304","2,383","1,801","2,664","1,199",744,43.6,-,"22,034","6,874","20,578","19,508","18,154","5,710","4,607","27,452","13,323","9,882","2,089","14,129","10,696","2,518","27,452","27,174","24,776",277,10,"1,987",-,124,278,"25,020",336,90,"2,122",5,165,"27,452",981,"26,471","23,900",277,10,"1,977",-
0,60016,"59,637","3,798","2,554","2,968","2,995","2,816","9,591","7,718","7,652","4,866","4,565","5,149","3,430","1,535",41.7,-,"50,317","11,351","48,286","46,977","44,506","12,688","10,114","59,637","28,865","22,892","4,172","30,772","25,394","5,942","59,637","58,581","39,687","2,247",174,"14,564",39,"1,870","1,056","40,583","2,545",531,"14,968",112,"2,022","59,637","8,297","51,340","33,482","2,223",127,"14,463",39
0,60018,"30,386","1,947","1,933","2,103","1,969","1,746","4,210","3,781","4,128","1,980","1,858","2,376","1,683",672,38.3,-,"24,403","7,142","23,244","22,069","20,688","5,895","4,731","30,386","15,503","11,595","1,964","14,883","11,649","2,767","30,386","29,758","23,234",639,64,"3,290",10,"2,521",628,"23,786",884,124,"3,640",39,"2,589","30,386","10,662","19,724","15,392",562,8,"3,264",-
0,60020,"9,827",768,349,460,566,645,929,"1,454","1,325","1,066",577,"1,038",351,299,42.7,-,"8,250","1,878","7,949","7,567","7,039","2,104","1,688","9,827","4,482","3,702",732,"5,345","4,247",956,"9,827","9,738","9,223",98,-,215,-,202,89,"9,312",135,35,215,-,256,"9,827",854,"8,973","8,586",98,-,215,-
0,60021,"5,548",291,417,275,501,347,809,624,"1,128",484,145,331,180,16,37.6,-,"4,565","1,284","4,264","4,034","3,717",620,527,"5,548","2,677","1,916",206,"2,871","2,348",321,"5,548","5,323","5,211",-,16,71,-,25,225,"5,436",-,43,199,-,95,"5,548",428,"5,120","4,965",-,-,71,-
0,60022,"8,477",438,527,"1,023",637,303,339,953,"1,351",761,696,954,334,161,45.1,-,"6,489","2,473","6,004","5,852","5,549","1,780","1,449","8,477","4,196","2,967",726,"4,281","3,037",723,"8,477","8,415","7,931",162,-,317,-,5,62,"7,993",162,-,379,-,5,"8,477",456,"8,021","7,552",132,-,275,-
0,60025,"41,014","2,276","2,898","3,086","2,657","1,403","3,676","4,973","5,786","3,176","2,860","4,545","2,490","1,188",44.2,-,"32,754","10,324","30,690","29,886","28,694","9,903","8,223","41,014","19,786","14,377","3,538","21,228","16,313","4,685","41,014","40,214","33,761",569,25,"5,591",-,268,800,"34,500",720,104,"6,119",64,369,"41,014","2,721","38,293","31,388",569,4,"5,526",-
0,60026,"14,118",917,957,900,"1,026",357,"1,400","1,597","1,981",876,959,"1,443",944,761,44.6,-,"11,344","3,617","10,501","10,243","9,961","3,715","3,148","14,118","6,931","4,963","1,228","7,187","5,538","1,920","14,118","13,787","10,709",223,-,"2,755",-,100,331,"10,953",224,16,"3,050",15,201,"14,118","1,139","12,979","9,699",223,-,"2,755",-
0,60030,"36,817","1,963","1,941","2,586","2,569","2,645","4,045","4,642","5,697","2,964","2,457","2,726","1,883",699,40.9,-,"30,327","8,040","28,777","27,293","25,113","6,881","5,308","36,817","18,255","14,134","2,360","18,562","14,643","2,948","36,817","35,677","31,438","1,123",33,"1,971",36,"1,076","1,140","32,498","1,470",205,"2,539",62,"1,236","36,817","4,190","32,627","28,427","1,094",22,"1,971",36
0,60031,"37,172","1,804","2,620","2,724","2,737","2,658","4,112","4,869","5,849","2,929","2,427","2,679","1,103",661,39.3,-,"30,024","8,927","28,245","26,803","24,629","5,762","4,443","37,172","18,049","13,495","1,834","19,123","14,750","2,609","37,172","35,635","27,008","2,680",138,"4,840",-,969,"1,537","28,374","3,285",430,"5,463",111,"1,147","37,172","4,820","32,352","23,352","2,612",94,"4,809",-
0,60033,"13,681",820,"1,370","1,320",828,843,"1,887","1,623","1,367",947,746,"1,272",442,216,34.1,-,"10,171","4,015","9,666","9,216","8,500","2,346","1,930","13,681","6,752","4,901",915,"6,929","4,765","1,015","13,681","13,459","12,704",40,12,10,13,680,222,"12,903",174,72,10,41,772,"13,681","5,605","8,076","7,884",40,12,10,13
0,60035,"29,734","1,651","1,826","2,387","1,925","1,052","1,810","3,283","4,487","2,456","2,320","3,668","1,976",893,46.6,-,"23,870","7,288","22,446","21,680","20,893","7,850","6,537","29,734","14,306","10,564","3,109","15,428","11,882","3,428","29,734","29,220","27,374",420,27,714,-,685,514,"27,888",547,36,"1,092",10,685,"29,734","2,178","27,556","25,886",420,27,702,-
0,60040,"5,366",409,315,389,336,232,760,780,723,435,256,274,348,109,37.8,-,"4,253","1,350","4,016","3,879","3,685",877,731,"5,366","2,753","1,985",314,"2,613","2,031",417,"5,366","5,329","4,340",224,31,139,-,595,37,"4,377",243,31,157,-,595,"5,366","2,570","2,796","2,451",169,-,139,-
0,60041,"8,897",475,436,497,578,725,"1,170",748,"1,331",698,659,"1,045",437,98,42.7,-,"7,489","1,627","7,270","6,718","6,186","1,874","1,580","8,897","4,348","3,554",702,"4,549","3,716",878,"8,897","8,787","8,425",29,-,84,144,105,110,"8,535",99,23,84,144,122,"8,897","1,049","7,848","7,498",29,-,84,144
0,60042,"8,420",393,666,610,479,411,847,"1,342","1,561",618,492,577,308,116,40.6,-,"6,751","1,978","6,442","6,199","5,861","1,224","1,001","8,420","4,446","3,284",424,"3,974","3,158",577,"8,420","8,200","7,959",30,-,121,-,90,220,"8,153",134,-,228,9,116,"8,420","1,113","7,307","7,066",30,-,121,-
0,60043,"2,512",178,219,279,244,90,64,284,437,217,171,158,104,67,41.3,-,"1,836",843,"1,669","1,574","1,502",413,329,"2,512","1,273",810,167,"1,239",859,162,"2,512","2,468","2,323",17,-,128,-,-,44,"2,367",31,20,152,-,-,"2,512",71,"2,441","2,272",17,-,128,-
0,60044,"10,003",441,570,641,609,879,"1,191",983,"1,526",865,813,901,400,184,42.7,-,"8,351","2,061","7,942","7,652","6,863","1,912","1,485","10,003","4,642","3,716",668,"5,361","4,226",817,"10,003","9,841","8,467",138,3,"1,128",-,105,162,"8,616",151,62,"1,207",-,129,"10,003",762,"9,241","7,863",138,3,"1,128",-
0,60045,"21,131",847,"1,193","1,753","2,047","1,256","1,005","1,971","3,383","1,560","1,553","2,682","1,162",719,46.6,-,"17,338","5,028","16,103","15,036","14,035","5,361","4,563","21,131","10,472","7,933","1,985","10,659","8,170","2,578","21,131","20,773","18,568",390,41,"1,660",-,114,358,"18,890",520,94,"1,836",7,142,"21,131","1,013","20,118","17,734",377,-,"1,660",-
0,60046,"35,286","1,984","2,043","2,921","2,974","2,360","3,386","4,515","6,151","2,842","1,859","2,866",947,438,40.3,-,"28,338","8,830","26,456","24,722","23,004","5,234","4,251","35,286","17,646","13,041","1,978","17,640","13,415","2,273","35,286","34,639","31,720",778,12,"1,383",-,746,647,"32,294",900,131,"1,733",17,858,"35,286","3,137","32,149","29,540",748,4,"1,383",-
0,60047,"42,637","1,947","2,786","3,752","3,415","2,486","3,796","4,847","8,001","3,720","2,752","3,235","1,203",697,42.0,-,"34,152","10,580","32,057","30,225","28,251","6,790","5,135","42,637","21,299","15,822","2,323","21,338","16,235","2,812","42,637","41,846","35,684",845,2,"4,503",36,776,791,"36,357","1,008",145,"5,008",124,868,"42,637","3,441","39,196","33,350",639,2,"4,457",15
0,60048,"29,058","1,180","1,896","2,310","2,422","1,786","1,777","3,054","5,357","2,762","2,042","2,542","1,197",733,45.2,-,"23,672","7,007","22,051","20,808","19,464","5,511","4,472","29,058","14,196","10,674","1,989","14,862","11,377","2,483","29,058","28,566","26,014",329,86,"1,992",-,145,492,"26,453",511,148,"2,227",8,223,"29,058","1,245","27,813","25,081",298,23,"1,992",-
0,60050,"32,732","1,600","1,972","2,397","2,180","2,309","4,013","4,271","4,639","2,488","1,896","2,841","1,219",907,39.6,-,"26,763","7,329","25,403","24,249","22,274","5,983","4,967","32,732","16,272","12,483","2,086","16,460","12,920","2,881","32,732","32,320","30,989",213,96,443,-,579,412,"31,357",365,156,589,-,677,"32,732","4,650","28,082","27,045",162,77,443,-
0,60051,"23,298","1,312","1,355","1,275","1,924","1,249","2,561","3,166","3,818","2,002","1,627","1,894",791,324,41.1,-,"19,356","5,092","18,206","17,215","16,183","3,826","3,009","23,298","11,641","8,977","1,517","11,657","9,229","1,492","23,298","22,871","21,934",190,12,327,-,408,427,"22,333",319,44,543,7,545,"23,298","2,285","21,013","20,211",190,-,299,-
0,60053,"23,256",979,"1,304","1,233","1,154","1,095","2,283","2,830","3,161","1,807","1,758","2,980","1,762",910,47.4,-,"19,740","4,320","18,936","18,418","17,491","6,798","5,652","23,256","11,532","9,174","2,509","11,724","9,762","3,143","23,256","22,838","14,519",695,-,"7,183",-,441,418,"14,791",713,16,"7,566",17,571,"23,256","1,452","21,804","13,563",675,-,"7,068",-
0,60056,"55,250","4,548","3,749","2,928","3,050","2,423","6,918","8,170","7,729","3,488","2,940","4,934","3,006","1,367",39.6,-,"44,025","13,271","41,979","40,619","38,552","10,925","9,307","55,250","27,755","20,618","4,362","27,495","21,361","4,945","55,250","53,906","41,830","1,551",269,"6,769",14,"3,473","1,344","43,000","1,780",655,"7,432",49,"3,865","55,250","9,331","45,919","36,557","1,421",145,"6,769",-
0,60060,"37,208","2,570","2,158","2,224","2,638","2,091","5,776","4,896","4,995","2,600","2,596","2,901","1,324",439,37.2,-,"30,256","8,544","28,664","27,224","25,527","6,313","4,664","37,208","18,979","14,428","2,131","18,229","14,236","2,533","37,208","36,200","29,267",629,104,"3,804",35,"2,361","1,008","30,081",737,159,"4,444",48,"2,756","37,208","11,902","25,306","20,015",623,92,"3,758",35
