,zipcode,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,53142,"12,913","12,217","9,300","2,917",2.73,2.53,696,115,68,82,"9,415",1.2,"2,985",2.3,"25,382","7,384","12,913","10,205","9,873",332,322,265,660,543,672,246,-,19,"12,913",225,"2,344","2,102","1,181","2,061","1,228","1,624",588,"1,560","12,217","5,101","3,695","1,638","1,783","12,217",489,"3,494","5,411","2,823","12,217","9,903",261,"1,953",64,-,23,-,13,-,"12,217",-,21,162,"12,217","12,050",143,24,"9,300",184,822,"2,240","2,302","2,575",988,124,45,20,"$173,900","$199,209","9,300","6,440","1,495","$1,624","2,860",496,$628,"2,917","2,785",132,$987,"$1,045","1,243","2,216"
0,60002,"10,651","9,073","7,218","1,855",2.67,2.59,"1,578",154,76,975,"7,372",2.1,"1,931",3.9,"19,243","4,801","10,651","9,417","8,819",598,101,313,233,275,149,163,-,15,"10,651",111,"2,652","1,923",874,"1,564",947,"1,193",568,819,"9,073","3,032","3,332","1,529","1,180","9,073",244,"2,615","4,000","2,214","9,073","7,747",124,"1,089",17,-,14,-,74,8,"9,073",10,14,170,"9,073","9,023",44,6,"7,218",263,300,"1,167","1,779","2,418","1,142",107,31,11,"$203,600","$230,944","7,218","5,100","1,699","$1,925","2,118",365,$794,"1,855","1,757",98,"$1,020","$1,091",761,"1,448"
0,60004,"20,877","20,061","15,856","4,205",2.54,2.40,816,27,267,109,"15,883",0.2,"4,472",6.0,"40,232","10,111","20,877","14,200","12,420","1,780",92,792,"2,475",658,"2,660",-,-,-,"20,877",277,"1,181","1,957","4,108","4,276","4,939","3,094",401,644,"20,061","7,623","5,148","3,018","4,272","20,061","1,072","6,276","9,320","3,393","20,061","17,249",240,"2,356",-,-,-,-,99,117,"20,061",20,44,255,"20,061","19,787",197,77,"15,856",242,510,"1,144",884,"2,816","7,393","2,742",117,8,"$355,900","$358,564","15,856","9,857","2,750","$2,333","5,999","1,225",$938,"4,205","4,103",102,"$1,387","$1,408","1,444","3,871"
0,60005,"13,282","12,555","8,009","4,546",2.50,2.02,727,111,109,58,"8,120",1.4,"4,655",2.3,"20,048","9,198","13,282","6,714","6,122",592,144,256,"1,214",722,"3,975",235,22,18,"13,282",171,710,728,"1,572","3,608","3,404","2,076",339,674,"12,555","5,653","3,145","1,613","2,144","12,555","1,029","4,567","5,471","1,488","12,555","8,581",127,"3,479",28,-,-,-,225,115,"12,555",79,137,284,"12,555","12,281",218,56,"8,009",343,459,686,555,"1,319","3,322","1,234",91,-,"$332,000","$330,444","8,009","4,982","1,469","$2,145","3,027",582,$884,"4,546","4,417",129,"$1,220","$1,338","1,782","3,566"
0,60007,"13,973","13,411","9,946","3,465",2.61,2.09,562,59,181,53,"10,005",0.6,"3,646",5.0,"25,934","7,242","13,973","9,542","8,224","1,318",57,487,"1,187",516,"2,166",18,-,1,"13,973",35,341,"1,308","3,001","4,161","2,958","1,829",201,139,"13,411","4,672","3,605","2,287","2,847","13,411",757,"4,327","5,775","2,552","13,411","11,331",93,"1,762",-,-,57,11,113,44,"13,411",11,153,302,"13,411","13,174",186,51,"9,946",209,467,614,"1,217","3,717","3,330",369,15,8,"$268,900","$267,904","9,946","6,542","2,030","$1,938","3,404",422,$749,"3,465","3,408",57,"$1,197","$1,248","1,584","3,269"
0,60008,"8,729","8,313","5,616","2,697",2.51,2.74,416,39,7,-,"5,655",0.7,"2,704",0.3,"14,084","7,399","8,729","4,992","4,241",751,53,350,516,621,"2,197",-,-,-,"8,729",19,261,731,"1,055","2,187","1,816","2,325",212,123,"8,313","3,650","2,141","1,213","1,309","8,313",358,"2,997","3,878","1,080","8,313","6,112",87,"2,053",-,-,-,-,17,44,"8,313",9,183,126,"8,313","7,805",410,98,"5,616",148,552,432,"1,083","2,021","1,075",272,10,23,"$226,500","$245,849","5,616","3,643","1,230","$1,837","1,973",419,$710,"2,697","2,600",97,"$1,268","$1,358","1,067","2,450"
0,60010,"17,859","16,546","14,918","1,628",2.82,2.26,"1,313",447,182,179,"15,365",2.9,"1,810",10.1,"42,131","3,683","17,859","15,970","14,646","1,324",273,398,247,76,869,26,-,1,"17,859",359,"2,474","2,227","4,163","3,597","2,016","1,411",419,"1,193","16,546","5,266","5,178","3,224","2,878","16,546",541,"3,208","7,460","5,337","16,546","14,256",138,"2,071",-,-,5,-,30,46,"16,546",31,33,174,"16,546","16,435",96,15,"14,918",171,48,263,474,"1,300","4,452","6,780","1,039",391,"$537,700","$607,249","14,918","9,987","3,178","$3,209","4,931","1,101","$1,307","1,628","1,481",147,"$1,498","$1,578",684,"1,102"
0,60012,"4,067","3,849","3,536",313,2.92,1.90,218,117,27,-,"3,653",3.2,340,7.9,"10,337",595,"4,067","3,838","3,713",125,-,46,-,-,175,8,-,2,"4,067",32,873,741,977,720,283,231,26,184,"3,849",984,"1,498",733,634,"3,849",145,358,"1,992","1,354","3,849","3,605",5,209,-,-,7,-,9,14,"3,849",9,91,18,"3,849","3,810",28,11,"3,536",74,3,88,209,"1,269","1,501",361,21,10,"$310,100","$332,125","3,536","2,724",736,"$2,460",812,129,$995,313,296,17,"$1,484","$1,890",185,202
0,60013,"9,464","9,131","7,931","1,200",2.88,2.47,333,64,9,4,"7,995",0.8,"1,209",0.7,"22,819","2,963","9,464","8,891","7,705","1,186",53,103,164,91,153,9,-,1,"9,464",73,"1,690","2,320","1,276","1,622",766,"1,018",230,469,"9,131","2,760","3,133","2,010","1,228","9,131",154,"1,909","4,447","2,621","9,131","8,656",24,433,-,-,8,-,-,10,"9,131",15,67,61,"9,131","9,043",73,15,"7,931",172,246,938,"1,633","2,845","1,686",397,-,14,"$231,000","$249,415","7,931","5,877","1,621","$1,899","2,054",222,$809,"1,200","1,126",74,"$1,204","$1,288",378,"1,039"
0,60014,"18,632","17,585","13,648","3,937",2.76,2.66,"1,047",203,127,153,"13,851",1.5,"4,064",3.1,"37,676","10,486","18,632","15,076","13,559","1,517",417,729,"1,364",425,324,297,-,16,"18,632",286,"2,278","4,941","2,331","3,419","1,809","1,887",361,"1,320","17,585","6,884","5,616","3,471","1,614","17,585",519,"4,266","8,289","4,511","17,585","15,365",84,"2,105",19,-,-,-,12,-,"17,585",-,-,147,"17,585","17,353",208,24,"13,648",387,657,"1,738","2,827","4,723","2,818",434,23,41,"$223,500","$244,492","13,648","10,396","2,871","$1,886","3,252",574,$774,"3,937","3,770",167,"$1,271","$1,288","1,636","3,421"
0,60015,"10,411","9,768","8,220","1,548",2.78,2.36,643,237,73,142,"8,457",2.8,"1,621",4.5,"22,865","3,651","10,411","8,761","7,475","1,286",69,345,116,272,842,6,-,1,"10,411",415,871,"1,197","1,264","1,876","1,916","2,124",303,445,"9,768","3,164","2,828","1,956","1,820","9,768",410,"2,287","5,139","1,932","9,768","8,805",30,854,2,6,8,-,11,52,"9,768",18,51,42,"9,768","9,717",41,10,"8,220",99,24,220,305,901,"2,390","3,575",594,112,"$517,300","$570,807","8,220","5,516","1,704","$3,235","2,704",643,"$1,351","1,548","1,475",73,"$1,818","$1,945",654,"1,003"
0,60016,"24,309","22,895","15,030","7,865",2.60,2.49,"1,414",165,281,106,"15,195",1.1,"8,146",3.4,"39,152","19,610","24,309","11,011","8,638","2,373",280,934,"3,428","2,626","5,800",230,-,9,"24,309",368,"2,089","2,226","2,754","5,613","5,195","3,494","1,029","1,541","22,895","9,834","6,338","3,867","2,856","22,895","1,316","9,477","8,862","3,240","22,895","17,559",215,"4,736",30,-,-,-,170,185,"22,895",10,54,339,"22,895","21,947",581,367,"15,030",520,"1,373","1,705","2,564","5,094","3,140",584,11,39,"$227,600","$240,224","15,030","9,299","3,272","$1,768","5,731","1,011",$688,"7,865","7,603",262,"$1,107","$1,147","3,301","6,702"
0,60018,"10,578","10,029","7,140","2,889",3.06,2.81,549,31,203,28,"7,171",0.4,"3,092",6.6,"21,866","8,106","10,578","6,544","5,789",755,110,179,"1,025",383,873,"1,464",-,138,"10,578",140,493,653,876,"1,722","2,300","2,950",841,603,"10,029","3,840","2,739","1,500","1,950","10,029",667,"3,158","3,914","2,290","10,029","8,069",94,"1,835",7,-,-,-,24,-,"10,029",40,243,192,"10,029","9,512",402,115,"7,140","1,009",203,433,732,"2,814","1,640",269,4,36,"$243,400","$240,154","7,140","3,929","1,619","$1,896","3,211",708,$766,"2,889","2,760",129,$996,"$1,118","1,312","2,411"
