,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,77002,280,"13,571",84,-,17,727,"1,940","4,823","2,381","1,836",819,442,334,133,35,32.7,-,"13,470",179,"13,392","12,495","10,803",728,502,"13,571","11,525","11,394",333,"2,046","1,998",169,"13,571","13,289","7,445","4,978",19,234,8,605,282,"7,677","5,049",71,379,8,678,"13,571","3,302","10,269","4,786","4,937",19,234,-
0,77003,26,"9,876",669,463,510,372,745,"2,700","1,671","1,172",402,515,424,166,67,33.3,-,"8,234","1,850","8,026","7,693","7,117",949,657,"9,876","5,108","4,150",260,"4,768","3,876",397,"9,876","9,535","5,520","2,613",-,437,-,965,341,"5,764","2,768",105,562,18,"1,045","9,876","4,747","5,129","1,873","2,552",-,437,-
0,77004,94,"36,959","1,672","1,232","1,016","4,391","7,662","6,774","4,116","3,789","1,603","1,342","2,007",980,375,28.1,-,"33,039","4,604","32,355","26,196","20,986","4,165","3,362","36,959","18,732","16,461","1,484","18,227","15,894","1,878","36,959","36,248","13,475","18,176",82,"3,708",10,797,711,"13,981","18,486",196,"4,134",29,878,"36,959","4,994","31,965","9,356","17,944",5,"3,681",10
0,77005,32,"28,552","2,189","1,773","1,851","2,690","2,253","2,872","3,654","3,501","2,055","2,050","2,480",801,383,36.6,-,"22,739","7,033","21,519","19,281","17,796","4,765","3,664","28,552","14,133","10,649","1,895","14,419","10,870","1,769","28,552","27,786","23,028",860,-,"3,539",-,359,766,"23,587",992,74,"4,153",86,449,"28,552","3,017","25,535","20,329",860,-,"3,525",-
0,77006,67,"22,632",724,627,476,449,"2,179","7,148","3,364","2,788","1,420","1,355","1,460",526,116,34.6,-,"20,805","1,979","20,653","20,199","18,177","2,834","2,102","22,632","12,071","11,156","1,043","10,561","9,497","1,059","22,632","22,099","18,277","1,156",98,"1,793",26,749,533,"18,810","1,236",243,"2,062",50,815,"22,632","3,556","19,076","15,599","1,135",39,"1,793",26
0,77007,67,"37,492","2,066",988,602,585,"2,613","13,250","7,436","3,761","1,972","1,692","1,813",529,185,33.6,-,"33,836","3,985","33,507","33,167","30,638","3,414","2,527","37,492","19,597","17,632","1,405","17,895","15,875","1,122","37,492","36,291","28,502","2,078",159,"3,447",1,"2,104","1,201","29,548","2,246",427,"4,083",134,"2,335","37,492","7,696","29,796","23,145","1,958",159,"3,437",1
0,77008,61,"34,184","2,366","1,457",728,707,"1,366","10,361","5,705","3,834","2,184","1,980","2,044",798,654,35.2,-,"29,633","5,091","29,093","28,856","27,560","4,671","3,496","34,184","17,428","14,591","1,446","16,756","14,502","2,050","34,184","33,321","29,182","1,008",12,"2,185",-,934,863,"30,034","1,254",185,"2,622",-,994,"34,184","9,223","24,961","21,230",962,-,"2,139",-
0,77009,74,"36,260","2,476","2,021","2,248","1,901","2,222","6,708","4,936","5,154","2,368","1,826","2,589","1,352",459,36.3,-,"29,515","8,256","28,004","27,222","25,392","5,533","4,400","36,260","18,771","14,486","1,987","17,489","13,518","2,413","36,260","35,488","29,098","2,563",160,299,143,"3,225",772,"29,791","2,715",266,553,279,"3,507","36,260","23,112","13,148","9,778","2,446",-,299,143
0,77010,1,862,11,-,-,15,10,148,100,147,152,150,110,10,9,55.0,-,851,23,839,836,826,207,129,862,471,471,79,391,368,50,862,862,742,54,-,66,-,-,-,742,54,-,66,-,-,862,11,851,731,54,-,66,-
0,77011,70,"17,803","1,277","1,419","1,341","1,155","1,370","2,315","2,546","2,287","1,058",824,"1,484",540,187,35.1,-,"13,766","4,800","13,003","12,300","11,241","2,536","2,211","17,803","9,756","7,038",946,"8,047","5,965","1,265","17,803","17,625","14,621",310,108,143,7,"2,436",178,"14,790",351,179,172,16,"2,481","17,803","16,778","1,025",596,223,19,143,7
