,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,77002,280,,0.6,,0.1,5.4,14.3,35.5,17.5,13.5,6.0,3.3,2.5,1.0,0.3,,,99.3,1.3,98.7,92.1,79.6,5.4,3.7,,84.9,98.9,2.9,15.1,97.7,8.3,,97.9,54.9,36.7,0.1,1.7,0.1,4.5,2.1,56.6,37.2,0.5,2.8,0.1,5.0,,24.3,75.7,35.3,36.4,0.1,1.7,
0,77003,26,,6.8,4.7,5.2,3.8,7.5,27.3,16.9,11.9,4.1,5.2,4.3,1.7,0.7,,,83.4,18.7,81.3,77.9,72.1,9.6,6.7,,51.7,81.2,5.1,48.3,81.3,8.3,,96.5,55.9,26.5,,4.4,,9.8,3.5,58.4,28.0,1.1,5.7,0.2,10.6,,48.1,51.9,19.0,25.8,,4.4,
0,77004,94,,4.5,3.3,2.7,11.9,20.7,18.3,11.1,10.3,4.3,3.6,5.4,2.7,1.0,,,89.4,12.5,87.5,70.9,56.8,11.3,9.1,,50.7,87.9,7.9,49.3,87.2,10.3,,98.1,36.5,49.2,0.2,10.0,,2.2,1.9,37.8,50.0,0.5,11.2,0.1,2.4,,13.5,86.5,25.3,48.6,,10.0,
0,77005,32,,7.7,6.2,6.5,9.4,7.9,10.1,12.8,12.3,7.2,7.2,8.7,2.8,1.3,,,79.6,24.6,75.4,67.5,62.3,16.7,12.8,,49.5,75.3,13.4,50.5,75.4,12.3,,97.3,80.7,3.0,,12.4,,1.3,2.7,82.6,3.5,0.3,14.5,0.3,1.6,,10.6,89.4,71.2,3.0,,12.3,
0,77006,67,,3.2,2.8,2.1,2.0,9.6,31.6,14.9,12.3,6.3,6.0,6.5,2.3,0.5,,,91.9,8.7,91.3,89.2,80.3,12.5,9.3,,53.3,92.4,8.6,46.7,89.9,10.0,,97.6,80.8,5.1,0.4,7.9,0.1,3.3,2.4,83.1,5.5,1.1,9.1,0.2,3.6,,15.7,84.3,68.9,5.0,0.2,7.9,0.1
0,77007,67,,5.5,2.6,1.6,1.6,7.0,35.3,19.8,10.0,5.3,4.5,4.8,1.4,0.5,,,90.2,10.6,89.4,88.5,81.7,9.1,6.7,,52.3,90.0,7.2,47.7,88.7,6.3,,96.8,76.0,5.5,0.4,9.2,,5.6,3.2,78.8,6.0,1.1,10.9,0.4,6.2,,20.5,79.5,61.7,5.2,0.4,9.2,
0,77008,61,,6.9,4.3,2.1,2.1,4.0,30.3,16.7,11.2,6.4,5.8,6.0,2.3,1.9,,,86.7,14.9,85.1,84.4,80.6,13.7,10.2,,51.0,83.7,8.3,49.0,86.5,12.2,,97.5,85.4,2.9,,6.4,,2.7,2.5,87.9,3.7,0.5,7.7,,2.9,,27.0,73.0,62.1,2.8,,6.3,
0,77009,74,,6.8,5.6,6.2,5.2,6.1,18.5,13.6,14.2,6.5,5.0,7.1,3.7,1.3,,,81.4,22.8,77.2,75.1,70.0,15.3,12.1,,51.8,77.2,10.6,48.2,77.3,13.8,,97.9,80.2,7.1,0.4,0.8,0.4,8.9,2.1,82.2,7.5,0.7,1.5,0.8,9.7,,63.7,36.3,27.0,6.7,,0.8,0.4
0,77010,1,,1.3,,,1.7,1.2,17.2,11.6,17.1,17.6,17.4,12.8,1.2,1.0,,,98.7,2.7,97.3,97.0,95.8,24.0,15.0,,54.6,100.0,16.8,45.4,94.1,12.8,,100.0,86.1,6.3,,7.7,,,,86.1,6.3,,7.7,,,,1.3,98.7,84.8,6.3,,7.7,
0,77011,70,,7.2,8.0,7.5,6.5,7.7,13.0,14.3,12.8,5.9,4.6,8.3,3.0,1.1,,,77.3,27.0,73.0,69.1,63.1,14.2,12.4,,54.8,72.1,9.7,45.2,74.1,15.7,,99.0,82.1,1.7,0.6,0.8,,13.7,1.0,83.1,2.0,1.0,1.0,0.1,13.9,,94.2,5.8,3.3,1.3,0.1,0.8,
0,77012,54,,8.6,7.6,8.3,5.6,6.5,16.5,14.5,11.8,5.5,3.8,7.8,3.2,0.4,,,75.5,28.3,71.7,68.6,63.5,12.9,11.4,,54.1,72.3,10.7,45.9,71.0,12.2,,98.6,65.8,2.8,0.3,0.9,,28.7,1.4,66.9,3.2,0.4,1.2,,29.8,,94.0,6.0,2.8,2.3,,0.9,
0,77013,46,,9.5,7.9,6.6,7.1,8.6,15.5,13.9,13.1,5.4,3.7,4.5,3.0,1.1,,,75.9,28.5,71.5,67.8,60.2,10.8,8.6,,54.8,70.6,6.6,45.2,72.6,10.9,,99.6,68.2,21.9,0.1,0.4,,8.9,0.4,68.6,21.9,0.3,0.5,0.1,9.1,,70.4,29.6,6.9,21.8,,0.3,
0,77014,96,,7.9,9.0,7.6,8.1,8.8,16.2,13.9,13.0,5.4,3.7,3.8,1.9,0.7,,,75.5,30.2,69.8,66.0,58.6,8.5,6.4,,49.7,66.6,5.7,50.3,73.1,7.2,,98.3,29.1,47.3,0.1,9.5,0.8,11.5,1.7,30.7,48.2,0.1,9.7,0.8,12.3,,36.2,63.8,5.6,46.8,,9.5,0.8
0,77015,134,,8.4,7.8,9.9,8.9,7.7,15.0,12.8,12.0,5.9,4.1,5.0,2.1,0.4,,,73.9,31.6,68.4,63.2,57.3,9.8,7.6,,50.9,67.6,6.9,49.1,69.2,8.2,,98.6,73.4,17.0,0.8,2.0,,5.4,1.4,74.5,17.9,1.1,2.2,0.1,5.8,,68.1,31.9,12.4,16.8,0.2,2.0,
0,77016,97,,7.1,6.3,8.0,6.2,8.5,10.6,13.4,11.5,6.5,6.1,9.6,5.3,0.9,,,78.5,25.3,74.7,70.1,63.9,19.0,15.8,,49.1,73.1,13.6,50.9,76.3,17.9,,99.5,35.4,60.9,0.3,0.3,0.1,2.5,0.5,35.8,61.3,0.3,0.4,0.1,2.6,,37.4,62.6,1.4,60.7,,0.3,
0,77017,82,,7.3,6.3,7.4,8.1,8.3,16.3,13.6,11.4,7.2,4.9,5.8,2.4,0.8,,,79.0,25.8,74.2,69.1,62.5,11.5,9.1,,51.1,73.8,8.4,48.9,74.7,9.8,,99.1,65.6,3.5,0.4,3.0,0.1,26.6,0.9,66.5,4.0,0.6,3.0,0.1,26.8,,85.8,14.2,7.2,3.3,0.2,2.9,
0,77018,52,,9.6,7.1,4.8,4.0,3.6,15.2,17.4,12.7,6.7,5.7,7.0,3.6,2.5,,,78.5,24.2,75.8,74.1,70.9,16.3,13.1,,50.8,74.9,11.3,49.2,76.7,15.0,,98.3,81.6,6.5,0.2,2.0,,8.1,1.7,82.9,6.9,0.8,2.6,,8.3,,35.6,64.4,54.7,6.4,,1.9,
0,77019,49,,3.4,3.3,3.5,4.5,7.2,23.3,12.9,14.0,5.8,7.9,9.6,3.3,1.3,,,89.8,13.1,86.9,85.0,78.2,18.9,14.2,,48.9,87.0,12.3,51.1,86.9,16.0,,98.5,78.7,6.4,0.5,9.7,,3.1,1.5,80.1,6.9,0.7,10.4,,3.4,,12.1,87.9,69.6,6.3,0.4,9.5,
0,77020,76,,8.4,7.0,8.3,6.2,8.4,15.0,12.9,12.9,6.2,5.7,5.5,2.6,1.0,,,76.4,27.9,72.1,68.1,61.8,12.1,9.1,,52.2,69.3,7.3,47.8,75.2,11.0,,97.2,57.2,24.0,0.6,0.3,,15.0,2.8,58.6,25.9,1.8,0.8,0.1,16.1,,73.3,26.7,3.0,22.9,0.1,0.2,
