,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,77002,280,"4,677","3,739",731,"3,008",1.57,1.34,938,73,445,107,804,9.1,"3,453",12.9,"1,150","4,026","4,677",167,98,69,9,55,17,167,"4,262",-,-,-,"4,677",820,699,564,52,169,623,303,185,"1,262","3,739","3,218",439,32,50,"3,739",641,"2,076",921,101,"3,739",436,41,"3,177",10,-,-,4,36,35,"3,739",-,288,89,"3,739","3,664",5,70,731,10,-,138,77,280,135,91,-,-,"$240,600","$279,363",731,451,196,"$2,475",280,130,"$1,233","3,008","2,940",68,"$1,432","$1,449","1,137","2,127"
0,77003,26,"5,292","4,544","1,969","2,575",2.34,2.03,748,51,144,33,"2,020",2.5,"2,719",5.3,"4,598","5,230","5,292","2,958","2,169",789,164,295,184,121,"1,570",-,-,-,"5,292",783,"1,648",230,93,336,259,310,418,"1,215","4,544","3,350",671,295,228,"4,544",734,"1,824","1,583",403,"4,544","1,873",95,"2,551",-,-,-,-,6,19,"4,544",25,281,51,"4,544","4,332",126,86,"1,969",-,196,247,148,426,856,86,-,10,"$295,700","$292,730","1,969","1,485",486,"$2,065",484,58,$446,"2,575","2,466",109,"$1,135","$1,177","1,132","1,562"
0,77004,94,"16,644","13,036","4,368","8,668",2.21,2.01,"3,608",177,990,175,"4,545",3.9,"9,658",10.3,"9,656","17,462","16,644","7,393","6,140","1,253","1,272","1,202","1,032",791,"4,889",65,-,4,"16,644","1,284","4,178","1,096",520,810,995,"1,960","2,235","3,566","13,036","8,632","2,444",915,"1,045","13,036","2,396","5,922","3,886",832,"13,036","5,563",119,"7,250",6,-,-,-,-,98,"13,036",47,243,403,"13,036","12,622",235,179,"4,368",175,323,367,494,"1,222","1,323",458,6,-,"$271,100","$276,474","4,368","2,492",731,"$2,078","1,876",232,$648,"8,668","8,431",237,$969,"$1,205","4,026","5,561"
0,77005,32,"10,929","10,118","7,421","2,697",2.81,1.79,811,79,160,211,"7,500",1.1,"2,857",5.6,"20,872","4,822","10,929","8,502","7,742",760,133,101,190,193,"1,801",9,-,1,"10,929","1,314","1,748","2,252","1,468",656,276,390,"1,131","1,694","10,118","4,690","3,089","1,573",766,"10,118",175,"3,115","4,986","1,842","10,118","5,912",-,"4,185",-,-,-,-,9,12,"10,118",17,27,113,"10,118","10,018",19,81,"7,421",86,82,181,108,230,547,"2,464","3,097",626,"$1,002,100","$1,138,613","7,421","4,211",819,"$4,001","3,210",648,"$1,501","2,697","2,578",119,"$1,753","$1,856","1,006","1,926"
0,77006,67,"14,712","12,862","4,572","8,290",2.04,1.52,"1,850",121,943,112,"4,693",2.6,"9,233",10.2,"9,346","12,573","14,712","5,686","3,270","2,416",560,955,"1,171","1,494","4,827",19,-,1,"14,712","1,824","2,577","1,531","1,013","1,410","1,749","1,165",706,"2,737","12,862","9,351","2,072",987,452,"12,862",771,"7,008","4,298",785,"12,862","4,373",117,"8,170",17,-,-,-,-,185,"12,862",5,144,293,"12,862","12,741",12,109,"4,572",15,77,200,169,465,"1,793","1,597",164,92,"$457,800","$552,852","4,572","2,994",757,"$2,737","1,578",304,"$1,089","8,290","8,212",78,"$1,385","$1,480","3,017","6,898"
0,77007,67,"21,794","19,602","10,312","9,290",2.05,1.74,"2,192",384,"1,236",77,"10,696",3.6,"10,526",11.7,"21,122","16,174","21,794","12,647","8,433","4,214",410,340,247,549,"7,518",30,53,1,"21,794","5,158","9,577","2,161","1,031",886,535,636,381,"1,429","19,602","14,586","4,139",321,556,"19,602",492,"8,410","8,813","1,887","19,602","8,586",128,"10,853",20,-,-,-,-,15,"19,602",32,32,446,"19,602","19,410",64,128,"10,312",85,153,163,243,910,"5,836","2,421",384,117,"$409,000","$470,853","10,312","8,241","1,621","$2,590","2,071",247,$968,"9,290","9,203",87,"$1,675","$1,770","2,736","7,228"
0,77008,61,"17,801","16,262","9,594","6,668",2.29,1.80,"1,539",156,524,81,"9,750",1.6,"7,192",7.3,"21,975","12,021","17,801","12,969","11,710","1,259",269,528,611,"1,048","2,366",10,-,1,"17,801","2,360","4,153","1,064",946,"1,386","1,768","1,766",985,"3,373","16,262","10,121","3,792","1,071","1,278","16,262",716,"6,444","7,128","1,974","16,262","9,035",118,"7,050",-,-,-,17,11,31,"16,262",23,143,166,"16,262","16,081",127,54,"9,594",70,33,247,194,953,"5,013","2,590",478,16,"$419,500","$463,202","9,594","6,765","1,125","$2,568","2,829",655,$795,"6,668","6,492",176,"$1,264","$1,415","2,248","5,541"
0,77009,74,"16,099","13,848","7,728","6,120",2.58,2.60,"2,251",225,442,166,"7,953",2.8,"6,562",6.7,"19,938","15,931","16,099","12,445","11,981",464,"1,068",643,411,694,739,99,-,6,"16,099",811,"1,063",334,737,545,924,"2,391","3,212","6,082","13,848","6,988","2,696","1,620","2,544","13,848","1,335","5,266","5,471","1,776","13,848","7,629",53,"6,060",7,-,-,-,-,99,"13,848",68,255,219,"13,848","13,139",589,120,"7,728",129,"1,197",756,834,"1,461","1,469","1,631",251,-,"$269,400","$321,641","7,728","3,882","1,049","$1,997","3,846",596,$505,"6,120","5,868",252,$893,"$1,031","2,690","3,634"
0,77010,1,871,576,82,494,1.00,1.58,295,-,91,67,82,-,585,15.6,82,780,871,11,-,11,-,-,-,-,860,-,-,-,871,144,558,23,136,-,-,-,9,1,576,486,71,10,9,576,43,355,172,6,576,38,11,518,-,-,-,-,9,-,576,-,-,11,576,566,10,-,82,-,-,-,-,-,41,31,10,-,-,-,82,11,-,-,71,11,"$1,501",494,494,-,"$3,161","$2,954",111,52
0,77011,70,"6,907","5,831","2,610","3,221",3.37,2.74,"1,076",63,109,128,"2,673",2.4,"3,330",3.3,"8,790","8,828","6,907","4,553","4,309",244,759,611,493,141,335,15,-,2,"6,907",179,267,366,257,531,760,"1,235","1,221","2,091","5,831","2,871","1,509",655,796,"5,831",814,"2,404","1,682",931,"5,831","2,275",16,"3,495",17,-,-,-,9,19,"5,831",-,42,115,"5,831","5,155",428,248,"2,610",117,"1,460",561,217,213,16,26,-,-,"$85,900","$106,774","2,610",929,414,"$1,183","1,681",176,$383,"3,221","3,063",158,$651,$713,"1,511","1,097"
