,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,77002,280,,79.9,19.6,80.4,,,20.1,7.8,47.4,11.4,,,,,8.5,29.7,,3.6,58.7,41.3,0.2,1.2,0.4,3.6,91.1,,,,,17.5,14.9,12.1,1.1,3.6,13.3,6.5,4.0,27.0,,86.1,11.7,0.9,1.3,,17.1,55.5,24.6,2.7,,11.7,1.1,85.0,0.3,,,0.1,1.0,0.9,,,7.7,2.4,,98.0,0.1,1.9,,1.4,,18.9,10.5,38.3,18.5,12.4,,,,,,61.7,43.5,,38.3,46.4,,,97.7,2.3,,,37.8,70.7
0,77003,26,,85.9,43.3,56.7,,,14.1,6.8,19.3,4.4,,,,,46.6,53.0,,55.9,73.3,26.7,3.1,5.6,3.5,2.3,29.7,,,,,14.8,31.1,4.3,1.8,6.3,4.9,5.9,7.9,23.0,,73.7,14.8,6.5,5.0,,16.2,40.1,34.8,8.9,,41.2,2.1,56.1,,,,,0.1,0.4,,0.6,6.2,1.1,,95.3,2.8,1.9,,,10.0,12.5,7.5,21.6,43.5,4.4,,0.5,,,,75.4,32.7,,24.6,12.0,,,95.8,4.2,,,44.0,60.7
0,77004,94,,78.3,33.5,66.5,,,21.7,4.9,27.4,4.9,,,,,26.1,47.2,,44.4,83.1,16.9,7.6,7.2,6.2,4.8,29.4,0.4,,,,7.7,25.1,6.6,3.1,4.9,6.0,11.8,13.4,21.4,,66.2,18.7,7.0,8.0,,18.4,45.4,29.8,6.4,,42.7,0.9,55.6,,,,,,0.8,,0.4,1.9,3.1,,96.8,1.8,1.4,,4.0,7.4,8.4,11.3,28.0,30.3,10.5,0.1,,,,,57.1,29.3,,42.9,12.4,,,97.3,2.7,,,46.4,64.2
0,77005,32,,92.6,73.3,26.7,,,7.4,9.7,19.7,26.0,,,,,73.1,16.9,,77.8,91.1,8.9,1.2,0.9,1.7,1.8,16.5,0.1,,,,12.0,16.0,20.6,13.4,6.0,2.5,3.6,10.3,15.5,,46.4,30.5,15.5,7.6,,1.7,30.8,49.3,18.2,,58.4,,41.4,,,,,0.1,0.1,,0.2,0.3,1.1,,99.0,0.2,0.8,,1.2,1.1,2.4,1.5,3.1,7.4,33.2,41.7,8.4,,,,56.7,19.4,,43.3,20.2,,,95.6,4.4,,,37.3,71.4
0,77006,67,,87.4,35.5,64.5,,,12.6,6.5,51.0,6.1,,,,,41.3,55.6,,38.6,57.5,42.5,3.8,6.5,8.0,10.2,32.8,0.1,,,,12.4,17.5,10.4,6.9,9.6,11.9,7.9,4.8,18.6,,72.7,16.1,7.7,3.5,,6.0,54.5,33.4,6.1,,34.0,0.9,63.5,0.1,,,,,1.4,,,1.1,2.3,,99.1,0.1,0.8,,0.3,1.7,4.4,3.7,10.2,39.2,34.9,3.6,2.0,,,,65.5,25.3,,34.5,19.3,,,99.1,0.9,,,36.4,83.2
0,77007,67,,89.9,52.6,47.4,,,10.1,17.5,56.4,3.5,,,,,56.3,43.1,,58.0,66.7,33.3,1.9,1.6,1.1,2.5,34.5,0.1,0.2,,,23.7,43.9,9.9,4.7,4.1,2.5,2.9,1.7,6.6,,74.4,21.1,1.6,2.8,,2.5,42.9,45.0,9.6,,43.8,0.7,55.4,0.1,,,,,0.1,,0.2,0.2,2.3,,99.0,0.3,0.7,,0.8,1.5,1.6,2.4,8.8,56.6,23.5,3.7,1.1,,,,79.9,19.7,,20.1,11.9,,,99.1,0.9,,,29.5,77.8
0,77008,61,,91.4,59.0,41.0,,,8.6,10.1,34.0,5.3,,,,,64.3,35.2,,72.9,90.3,9.7,1.5,3.0,3.4,5.9,13.3,0.1,,,,13.3,23.3,6.0,5.3,7.8,9.9,9.9,5.5,18.9,,62.2,23.3,6.6,7.9,,4.4,39.6,43.8,12.1,,55.6,0.7,43.4,,,,0.1,0.1,0.2,,0.1,0.9,1.0,,98.9,0.8,0.3,,0.7,0.3,2.6,2.0,9.9,52.3,27.0,5.0,0.2,,,,70.5,16.6,,29.5,23.2,,,97.4,2.6,,,33.7,83.1
0,77009,74,,86.0,55.8,44.2,,,14.0,10.0,19.6,7.4,,,,,55.0,43.9,,77.3,96.3,3.7,6.6,4.0,2.6,4.3,4.6,0.6,,,,5.0,6.6,2.1,4.6,3.4,5.7,14.9,20.0,37.8,,50.5,19.5,11.7,18.4,,9.6,38.0,39.5,12.8,,55.1,0.4,43.8,0.1,,,,,0.7,,0.5,1.8,1.6,,94.9,4.3,0.9,,1.7,15.5,9.8,10.8,18.9,19.0,21.1,3.2,,,,,50.2,27.0,,49.8,15.5,,,95.9,4.1,,,44.0,59.4
0,77010,1,,66.1,14.2,85.8,,,33.9,,30.8,22.7,,,,,9.5,90.5,,1.3,,100.0,,,,,98.7,,,,,16.5,64.1,2.6,15.6,,,,1.0,0.1,,84.4,12.3,1.7,1.6,,7.5,61.6,29.9,1.0,,6.6,1.9,89.9,,,,,1.6,,,,,1.9,,98.3,1.7,,,,,,,,50.0,37.8,12.2,,,,,13.4,,,86.6,15.5,,,100.0,,,,22.5,10.5
0,77011,70,,84.4,44.8,55.2,,,15.6,5.9,10.1,11.9,,,,,49.4,49.6,,65.9,94.6,5.4,11.0,8.8,7.1,2.0,4.9,0.2,,,,2.6,3.9,5.3,3.7,7.7,11.0,17.9,17.7,30.3,,49.2,25.9,11.2,13.7,,14.0,41.2,28.8,16.0,,39.0,0.3,59.9,0.3,,,,0.2,0.3,,,0.7,2.0,,88.4,7.3,4.3,,4.5,55.9,21.5,8.3,8.2,0.6,1.0,,,,,,35.6,44.6,,64.4,10.5,,,95.1,4.9,,,46.9,34.1
