,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,10001,361,,2.1,2.3,3.1,5.1,9.0,25.3,14.0,13.0,5.0,6.2,6.9,5.9,2.0,,,92.5,8.7,91.3,86.2,78.5,18.5,14.8,,50.9,92.2,12.4,49.1,90.4,17.3,,97.4,62.9,6.2,0.2,25.2,0.1,2.9,2.6,65.2,7.4,1.2,26.4,0.1,3.1,,14.2,85.8,53.1,5.6,0.2,25.0,0.1
0,10002,1035,,3.5,3.5,3.8,4.0,6.4,18.4,12.1,13.7,6.5,7.2,10.3,6.8,4.0,,,89.2,13.3,86.7,84.5,78.9,24.9,21.1,,48.3,85.6,18.6,51.7,87.7,23.4,,96.1,32.2,8.4,0.9,41.5,,13.1,3.9,35.6,10.2,1.4,42.9,0.2,13.6,,27.2,72.8,22.0,7.0,0.4,41.1,
0,10003,445,,3.2,1.7,1.2,13.7,10.2,25.3,13.9,9.0,4.9,5.2,6.3,3.9,1.6,,,93.8,7.1,92.9,76.9,69.9,15.1,11.8,,50.3,91.5,10.9,49.7,94.3,12.7,,97.7,75.9,5.8,0.2,13.5,0.1,2.2,2.3,77.9,6.4,0.2,14.9,0.5,2.6,,8.2,91.8,70.4,5.4,0.1,13.5,0.1
0,10004,31,,4.1,1.7,3.9,2.6,3.6,26.0,18.9,21.1,4.5,6.2,5.5,1.1,0.9,,,90.3,11.4,88.6,87.5,84.1,12.4,7.5,,41.8,87.8,5.8,58.2,89.2,8.8,,96.8,62.8,1.7,,30.4,0.6,1.3,3.2,66.0,2.2,0.2,32.9,0.6,1.4,,3.7,96.3,60.6,1.6,,29.7,0.6
0,10005,61,,5.9,3.4,2.0,2.3,11.8,39.7,21.8,8.3,3.2,0.4,1.0,0.3,,,,88.7,12.5,87.5,85.8,74.6,1.3,1.3,,45.3,87.7,0.7,54.7,87.3,1.7,,95.2,73.4,2.5,,17.0,,2.3,4.8,76.8,3.7,0.2,20.6,,3.5,,6.9,93.1,69.4,2.5,,17.0,
0,10006,24,,7.3,3.4,2.0,0.4,8.7,41.7,19.7,7.5,5.8,3.2,0.5,,,,,87.4,13.0,87.0,87.0,78.3,1.2,0.5,,47.3,86.7,1.0,52.7,87.3,,,94.6,69.8,1.0,,19.9,,3.9,5.4,75.2,2.1,,23.2,,5.5,,12.0,88.0,63.2,1.0,,19.9,
0,10007,54,,7.7,7.5,4.2,1.7,3.2,22.9,20.6,18.1,4.3,3.7,5.1,0.9,0.2,,,80.6,20.1,79.9,78.6,75.8,7.3,6.2,,58.6,79.0,8.1,41.4,81.1,3.4,,95.7,77.2,4.7,,11.8,,2.0,4.3,81.2,5.5,0.6,15.1,,2.5,,8.3,91.7,72.0,4.2,,11.8,
0,10009,687,,2.5,2.5,3.6,3.5,9.8,25.8,13.4,11.8,6.0,5.8,9.2,3.7,2.3,,,91.4,11.1,88.9,87.1,78.1,18.4,15.3,,45.8,87.4,13.1,54.2,90.1,17.1,,96.4,61.8,9.4,0.1,13.0,,12.1,3.6,65.1,11.3,0.9,14.5,0.1,12.4,,24.8,75.2,51.2,8.5,0.1,12.8,
0,10010,258,,5.0,3.0,2.6,5.2,9.1,26.0,15.4,10.9,5.5,3.3,8.6,3.5,2.0,,,89.4,11.6,88.4,82.2,75.1,16.1,14.0,,51.5,89.1,13.3,48.5,87.7,14.7,,97.8,73.2,5.3,0.7,17.4,,1.3,2.2,75.0,6.2,1.2,18.6,0.1,1.6,,11.0,89.0,63.9,5.1,0.7,17.1,
0,10011,516,,3.1,2.7,2.2,2.4,5.6,24.5,16.2,12.3,7.9,7.0,9.1,5.2,2.0,,,92.1,9.3,90.7,88.9,84.1,20.3,16.2,,51.6,90.6,14.5,48.4,90.8,18.0,,96.5,79.9,5.6,0.1,9.2,,1.7,3.5,83.0,7.1,0.7,11.0,,1.9,,11.3,88.7,71.5,4.7,,9.2,
