,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,10001,361,,87.9,26.2,73.8,,,12.1,0.4,38.2,34.5,,,,,24.9,70.4,,1.6,81.1,18.9,1.6,0.7,2.9,7.7,85.4,,,,,16.2,17.6,2.1,3.4,1.9,22.7,3.2,2.7,30.2,,59.5,22.3,9.7,8.5,,83.7,14.3,1.9,0.1,,29.0,1.5,47.4,13.0,,,,3.0,6.1,,0.8,0.9,1.2,,96.9,0.8,2.3,,13.5,14.9,12.8,2.2,4.2,9.8,9.9,14.1,18.6,,,,38.7,33.6,,61.3,12.2,,,98.2,1.8,,,42.0,38.0
0,10002,1035,,93.9,13.3,86.7,,,6.1,2.8,27.7,34.2,,,,,12.4,85.2,,0.9,70.7,29.3,1.0,1.9,5.7,14.9,75.5,,,,,1.2,3.8,2.7,4.1,11.4,14.9,13.6,9.5,38.9,,35.3,26.6,14.4,23.7,,82.6,16.0,1.3,0.2,,34.8,1.7,34.6,22.5,0.1,,,3.3,3.0,,0.2,0.7,9.6,,91.7,4.9,3.4,,7.8,1.3,0.3,0.3,3.0,14.1,51.9,18.0,3.3,,,,43.5,23.2,,56.5,18.1,,,98.9,1.1,,,49.7,49.5
0,10003,445,,84.6,32.9,67.1,,,15.4,3.6,31.5,33.7,,,,,29.2,52.2,,2.3,70.4,29.6,1.6,2.8,7.3,14.6,71.5,,,,,1.1,3.3,1.8,3.6,5.0,17.3,10.6,4.9,52.5,,53.2,17.1,11.8,17.9,,77.3,19.9,1.7,1.0,,45.8,2.7,24.0,20.7,,0.1,0.1,4.3,2.3,,0.3,0.8,5.2,,96.5,1.1,2.4,,1.6,0.8,0.4,0.4,3.1,7.9,35.8,26.5,23.5,,,,49.9,18.2,,50.1,17.7,,,98.3,1.7,,,40.2,49.0
0,10004,31,,77.6,38.3,61.7,,,22.4,22.3,14.8,20.2,,,,,43.1,56.7,,1.0,100.0,,,2.1,1.1,1.6,94.2,,,,,,19.3,4.8,7.7,2.0,1.7,1.1,2.4,60.9,,64.6,29.5,2.7,3.2,,75.2,19.7,4.3,0.8,,25.9,1.2,63.1,6.0,,,,0.5,3.3,,,,2.5,,96.1,1.1,2.7,,,,0.6,,,12.6,27.7,25.7,33.4,,,,66.5,29.4,,33.5,7.0,,,97.9,2.1,,,31.2,6.4
0,10005,61,,78.3,19.6,80.4,,,21.7,6.7,22.9,35.8,,,,,20.6,79.2,,0.4,100.0,,0.1,,0.1,0.7,98.7,,,,,1.5,12.5,4.7,7.2,10.9,5.0,4.9,1.1,52.0,,90.9,7.4,1.1,0.6,,85.6,12.8,1.5,0.1,,17.1,1.1,76.7,0.3,,,,3.2,1.6,,0.9,,2.8,,86.7,2.7,10.6,,9.1,,,,,10.9,11.9,49.1,19.0,,,,73.3,50.5,,26.7,17.5,,,98.5,1.5,,,31.6,2.1
0,10006,24,,76.6,17.1,82.9,,,23.4,,15.3,35.2,,,,,15.7,84.3,,1.1,100.0,,,1.2,1.5,2.4,93.7,,,,,3.8,7.1,13.6,1.6,3.9,7.3,,2.5,60.2,,78.4,21.1,0.6,,,80.9,14.8,4.2,,,28.5,,58.1,5.0,,,,0.9,7.5,,0.7,,6.4,,89.1,3.4,7.5,,,,,,,,39.5,45.1,15.4,,,,38.2,43.6,,61.8,19.0,,,98.9,1.1,,,37.4,8.9
0,10007,54,,81.1,35.4,64.6,,,18.9,10.6,9.3,51.0,,,,,37.4,50.2,,0.4,,100.0,0.9,4.7,6.8,7.6,79.5,,,,,2.0,28.4,9.7,18.6,2.6,8.7,1.4,0.4,28.3,,62.7,25.5,7.7,4.1,,73.5,23.1,2.9,0.5,,38.2,0.5,47.6,6.5,,,,5.6,1.6,,,1.5,2.7,,93.7,4.9,1.4,,8.4,1.7,,,1.5,1.5,10.7,20.7,55.5,,,,68.1,14.1,,31.9,23.3,,,98.5,1.5,,,27.6,20.4
0,10009,687,,95.0,6.3,93.7,,,5.0,1.3,45.1,25.4,,,,,6.4,92.5,,0.6,92.7,7.3,0.5,1.3,7.4,17.9,72.3,0.1,,,,1.2,3.4,4.2,3.8,4.8,9.2,12.1,27.9,33.4,,45.5,17.4,14.3,22.7,,81.5,17.1,1.3,0.1,,36.0,1.1,26.8,22.2,,,0.2,9.8,3.9,,0.2,0.5,11.1,,95.6,2.0,2.4,,14.2,3.2,6.9,2.7,0.9,13.7,36.0,15.7,6.7,,,,41.6,21.7,,58.4,20.5,,,99.2,0.8,,,45.5,51.7
0,10010,258,,88.4,28.4,71.6,,,11.6,6.2,42.5,22.7,,,,,25.8,64.3,,3.1,86.9,13.1,1.7,0.7,1.5,5.1,87.7,,0.2,,,1.6,9.9,3.4,7.2,17.6,13.0,9.1,11.2,26.9,,60.3,14.9,12.0,12.8,,75.5,21.3,2.1,1.1,,40.4,1.4,36.4,13.0,,,,5.1,3.6,,0.4,1.1,1.1,,96.6,1.3,2.1,,0.3,1.7,1.3,1.2,2.5,12.3,45.7,20.0,15.2,,,,57.1,32.9,,42.9,19.5,,,98.2,1.8,,,37.3,37.4
0,10011,516,,86.4,37.6,62.4,,,13.6,1.9,13.5,49.4,,,,,39.3,57.8,,2.9,48.7,51.3,1.7,2.4,7.6,11.4,73.5,0.2,0.3,,,2.0,8.7,2.0,3.2,4.5,16.2,7.2,5.6,50.7,,47.4,24.5,12.0,16.1,,79.6,18.2,1.3,0.9,,46.0,1.8,22.8,23.3,,,,2.0,4.1,,0.7,1.3,2.5,,95.6,2.0,2.3,,5.0,2.3,2.8,1.3,0.5,7.1,32.7,20.4,27.8,,,,52.3,24.0,,47.7,13.6,,,97.8,2.2,,,36.2,47.9
