,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,63101,12,"3,307",182,85,122,77,498,897,407,453,121,194,230,30,11,32.7,-,"2,918",444,"2,863","2,715","2,343",359,271,"3,307","1,851","1,591",210,"1,456","1,272",61,"3,307","3,260","1,312","1,755",16,141,36,-,47,"1,348","1,802",44,177,36,-,"3,307",64,"3,243","1,297","1,742",16,141,-
0,63102,12,"2,201",53,-,-,87,329,803,338,305,129,51,106,-,-,31.4,-,"2,148",71,"2,130","2,025","1,732",106,106,"2,201","1,551","1,489",75,650,641,31,"2,201","2,135","1,098",858,-,146,-,33,66,"1,164",858,-,203,9,33,"2,201",134,"2,067",997,858,-,146,-
0,63103,84,"8,307",128,113,179,821,"1,281","2,010","1,068","1,003",401,508,446,264,85,32.5,-,"7,887",522,"7,785","6,695","5,785","1,079",795,"8,307","4,587","4,250",340,"3,720","3,535",455,"8,307","8,190","4,090","3,441",28,426,-,205,117,"4,207","3,457",71,475,-,219,"8,307",438,"7,869","3,850","3,393",-,426,-
0,63104,89,"19,913","1,519","1,285",778,777,"1,577","5,051","2,223","2,441","1,122","1,251","1,227",493,169,32.4,-,"16,331","4,039","15,874","15,327","13,977","2,596","1,889","19,913","9,428","7,679",782,"10,485","8,195","1,107","19,913","19,555","9,809","9,284",12,370,4,76,358,"10,086","9,485",123,492,4,123,"19,913",372,"19,541","9,530","9,284",12,370,4
0,63106,100,"11,409","1,139","1,158","1,199","1,093",648,"1,467","1,224","1,161",519,473,693,474,161,28.5,-,"7,913","4,263","7,146","6,749","6,172","1,657","1,328","11,409","4,614","2,479",500,"6,795","4,667",828,"11,409","11,255",515,"10,704",6,-,-,30,154,620,"10,858",47,7,-,41,"11,409",84,"11,325",469,"10,694",6,-,-
0,63107,73,"9,490",480,521,714,784,644,"1,142","1,115","1,288",488,849,773,487,205,39.3,-,"7,775","2,198","7,292","6,881","6,347","1,995","1,465","9,490","4,343","3,266",558,"5,147","4,026",907,"9,490","9,324",592,"8,717",-,3,9,3,166,717,"8,874",95,3,9,21,"9,490",46,"9,444",583,"8,698",-,3,9
0,63108,187,"20,704",522,267,463,"1,504","3,042","5,136","1,952","1,936","1,269","1,484","1,947",827,355,32.6,-,"19,452","1,687","19,017","17,288","14,906","3,766","3,129","20,704","10,436","9,565","1,376","10,268","9,452","1,753","20,704","20,371","11,223","7,010",51,"1,925",6,156,333,"11,492","7,145",181,"2,058",10,176,"20,704",784,"19,920","10,597","6,994",30,"1,925",6
0,63109,74,"26,562","1,691",988,"1,144",701,"1,014","5,332","3,820","3,731","2,115","2,249","2,185","1,032",560,40.7,-,"22,739","4,304","22,258","21,966","21,024","4,932","3,777","26,562","12,274","9,969","1,429","14,288","12,289","2,348","26,562","26,057","23,732","1,746",74,389,-,116,505,"24,142","1,983",291,471,31,189,"26,562",697,"25,865","23,206","1,746",65,374,-
0,63110,57,"18,208","1,215",589,559,"1,245","1,437","4,435","2,826","2,023",998,"1,012","1,095",473,301,33.9,-,"15,845","2,944","15,264","14,248","13,163","2,286","1,869","18,208","8,440","6,993",803,"9,768","8,271","1,066","18,208","17,796","11,182","5,636",2,823,-,153,412,"11,585","5,834",67,958,-,225,"18,208",684,"17,524","10,700","5,598",2,823,-
0,63111,83,"21,141","1,304","1,530","1,669","1,127","1,265","3,224","2,859","2,603","1,638","1,471","1,435",652,364,35.8,-,"16,638","5,143","15,998","15,229","14,246","3,242","2,451","21,141","10,482","7,670","1,229","10,659","8,328","1,222","21,141","20,639","10,118","9,718",16,257,94,436,502,"10,517","9,987",31,568,94,450,"21,141","1,788","19,353","8,574","9,671",16,257,94
