,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,63101,12,,5.5,2.6,3.7,2.3,15.1,27.1,12.3,13.7,3.7,5.9,7.0,0.9,0.3,,,88.2,13.4,86.6,82.1,70.8,10.9,8.2,,56.0,86.0,11.3,44.0,87.4,4.2,,98.6,39.7,53.1,0.5,4.3,1.1,,1.4,40.8,54.5,1.3,5.4,1.1,,,1.9,98.1,39.2,52.7,0.5,4.3,
0,63102,12,,2.4,,,4.0,14.9,36.5,15.4,13.9,5.9,2.3,4.8,,,,,97.6,3.2,96.8,92.0,78.7,4.8,4.8,,70.5,96.0,4.8,29.5,98.6,4.8,,97.0,49.9,39.0,,6.6,,1.5,3.0,52.9,39.0,,9.2,0.4,1.5,,6.1,93.9,45.3,39.0,,6.6,
0,63103,84,,1.5,1.4,2.2,9.9,15.4,24.2,12.9,12.1,4.8,6.1,5.4,3.2,1.0,,,94.9,6.3,93.7,80.6,69.6,13.0,9.6,,55.2,92.7,7.4,44.8,95.0,12.2,,98.6,49.2,41.4,0.3,5.1,,2.5,1.4,50.6,41.6,0.9,5.7,,2.6,,5.3,94.7,46.3,40.8,,5.1,
0,63104,89,,7.6,6.5,3.9,3.9,7.9,25.4,11.2,12.3,5.6,6.3,6.2,2.5,0.8,,,82.0,20.3,79.7,77.0,70.2,13.0,9.5,,47.3,81.4,8.3,52.7,78.2,10.6,,98.2,49.3,46.6,0.1,1.9,,0.4,1.8,50.7,47.6,0.6,2.5,,0.6,,1.9,98.1,47.9,46.6,0.1,1.9,
0,63106,100,,10.0,10.1,10.5,9.6,5.7,12.9,10.7,10.2,4.5,4.1,6.1,4.2,1.4,,,69.4,37.4,62.6,59.2,54.1,14.5,11.6,,40.4,53.7,10.8,59.6,68.7,12.2,,98.7,4.5,93.8,0.1,,,0.3,1.3,5.4,95.2,0.4,0.1,,0.4,,0.7,99.3,4.1,93.7,0.1,,
0,63107,73,,5.1,5.5,7.5,8.3,6.8,12.0,11.7,13.6,5.1,8.9,8.1,5.1,2.2,,,81.9,23.2,76.8,72.5,66.9,21.0,15.4,,45.8,75.2,12.8,54.2,78.2,17.6,,98.3,6.2,91.9,,,0.1,,1.7,7.6,93.5,1.0,,0.1,0.2,,0.5,99.5,6.1,91.7,,,0.1
0,63108,187,,2.5,1.3,2.2,7.3,14.7,24.8,9.4,9.4,6.1,7.2,9.4,4.0,1.7,,,94.0,8.1,91.9,83.5,72.0,18.2,15.1,,50.4,91.7,13.2,49.6,92.1,17.1,,98.4,54.2,33.9,0.2,9.3,,0.8,1.6,55.5,34.5,0.9,9.9,,0.9,,3.8,96.2,51.2,33.8,0.1,9.3,
0,63109,74,,6.4,3.7,4.3,2.6,3.8,20.1,14.4,14.0,8.0,8.5,8.2,3.9,2.1,,,85.6,16.2,83.8,82.7,79.2,18.6,14.2,,46.2,81.2,11.6,53.8,86.0,16.4,,98.1,89.3,6.6,0.3,1.5,,0.4,1.9,90.9,7.5,1.1,1.8,0.1,0.7,,2.6,97.4,87.4,6.6,0.2,1.4,
0,63110,57,,6.7,3.2,3.1,6.8,7.9,24.4,15.5,11.1,5.5,5.6,6.0,2.6,1.7,,,87.0,16.2,83.8,78.3,72.3,12.6,10.3,,46.4,82.9,9.5,53.6,84.7,10.9,,97.7,61.4,31.0,,4.5,,0.8,2.3,63.6,32.0,0.4,5.3,,1.2,,3.8,96.2,58.8,30.7,,4.5,
0,63111,83,,6.2,7.2,7.9,5.3,6.0,15.2,13.5,12.3,7.7,7.0,6.8,3.1,1.7,,,78.7,24.3,75.7,72.0,67.4,15.3,11.6,,49.6,73.2,11.7,50.4,78.1,11.5,,97.6,47.9,46.0,0.1,1.2,0.4,2.1,2.4,49.7,47.2,0.1,2.7,0.4,2.1,,8.5,91.5,40.6,45.7,0.1,1.2,0.4
