,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,63101,12,"2,434","2,163",349,"1,814",1.54,1.52,271,-,51,52,349,-,"1,865",2.7,537,"2,755","2,434",132,113,19,-,33,351,35,"1,883",-,-,-,"2,434",152,140,78,142,153,98,51,129,"1,491","2,163","1,851",302,-,10,"2,163",305,"1,482",357,19,"2,163",653,23,"1,477",-,-,-,-,-,10,"2,163",34,34,51,"2,163","2,152",-,11,349,-,-,15,132,156,46,-,-,-,"$227,000","$222,160",349,258,47,"$1,798",91,15,$803,"1,814","1,814",-,$993,"$1,093",704,"1,532"
0,63102,12,"1,240",983,-,983,-,1.23,257,-,135,25,-,-,"1,118",12.1,-,"1,209","1,240",15,15,-,-,21,-,-,"1,195",9,-,7,"1,240",-,34,15,48,15,572,93,-,463,983,934,49,-,-,983,334,585,64,-,983,32,28,891,-,-,-,-,15,17,983,-,-,102,983,966,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,983,966,17,$897,"$1,009",330,814
0,63103,84,"5,958","4,662",597,"4,065",1.71,1.41,"1,296",-,416,78,597,-,"4,481",9.3,"1,019","5,749","5,958",173,164,9,153,129,232,215,"5,033",-,23,-,"5,958",74,202,264,112,289,"1,462",532,148,"2,875","4,662","3,845",702,57,58,"4,662","1,161","2,494",924,83,"4,662",811,6,"3,815",4,-,3,-,23,-,"4,662",-,-,170,"4,662","4,517",36,109,597,56,31,81,196,148,60,25,-,-,"$171,200","$200,802",597,433,96,"$1,393",164,11,$657,"4,065","4,008",57,$870,$949,"1,548","2,465"
0,63104,89,"10,898","9,485","3,566","5,919",2.28,1.96,"1,413",187,390,48,"3,753",5.0,"6,309",6.2,"8,142","11,589","10,898","4,254","3,067","1,187","1,410","1,944","1,221",284,"1,761",24,-,2,"10,898",135,"1,109",295,714,284,477,373,196,"7,315","9,485","5,653","2,321",776,735,"9,485","1,389","4,367","2,971",758,"9,485","6,338",92,"2,902",-,-,9,73,71,-,"9,485",90,100,174,"9,485","9,426",40,19,"3,566",74,279,674,671,793,843,201,7,24,"$209,100","$262,200","3,566","2,739",540,"$1,607",827,122,$564,"5,919","5,782",137,$880,$888,"2,426","3,552"
0,63106,100,"6,080","4,700",734,"3,966",2.86,2.26,"1,380",12,139,-,746,1.6,"4,105",3.4,"2,098","8,979","6,080","1,603","1,036",567,812,945,"1,000",303,"1,417",-,-,-,"6,080",225,"1,652",644,842,577,475,402,60,"1,203","4,700","2,968","1,247",235,250,"4,700","2,130","1,929",446,195,"4,700","2,315",23,"2,326",-,-,-,-,-,36,"4,700",31,41,85,"4,700","4,544",121,35,734,117,171,129,128,135,-,-,54,-,"$120,600","$183,862",734,432,196,"$1,230",302,37,$443,"3,966","3,853",113,$643,$636,"2,334","1,491"
0,63107,73,"7,012","4,037","1,801","2,236",2.37,2.24,"2,975",159,167,20,"1,960",8.1,"2,403",6.9,"4,260","5,014","7,012","2,880","2,723",157,"2,309","1,229",199,83,278,34,-,5,"7,012",55,330,208,164,268,345,397,542,"4,703","4,037","1,838",927,364,908,"4,037","1,538","1,463",650,386,"4,037","2,774",74,"1,175",-,-,-,-,-,14,"4,037",35,45,172,"4,037","3,989",35,13,"1,801",862,535,224,78,48,23,25,6,-,"$52,100","$74,629","1,801",631,277,"$1,138","1,170",300,$383,"2,236","2,150",86,$737,$749,"1,267","1,012"
0,63108,187,"12,861","10,778","3,124","7,654",2.05,1.57,"2,083",167,900,122,"3,291",5.1,"8,554",10.5,"6,406","11,993","12,861","2,303","1,827",476,609,790,"1,105",845,"7,156",53,-,4,"12,861",595,"1,009",928,"1,011",789,"1,223",631,363,"6,312","10,778","7,379","2,166",775,458,"10,778","2,420","5,196","2,393",769,"10,778","4,816",170,"5,417",45,-,5,-,194,131,"10,778",30,98,241,"10,778","10,635",40,103,"3,124",167,109,205,206,641,893,691,170,42,"$349,900","$426,681","3,124","1,984",580,"$2,270","1,140",98,$878,"7,654","7,526",128,$929,"$1,002","3,281","4,814"
0,63109,74,"14,766","13,602","7,954","5,648",2.17,1.65,"1,164",74,258,-,"8,028",0.9,"5,906",4.4,"17,224","9,315","14,766","8,684","8,415",269,"1,754","2,920",768,329,300,11,-,1,"14,766",7,188,106,155,513,775,"2,868","2,827","7,327","13,602","7,280","3,275","1,757","1,290","13,602","1,018","6,341","4,794","1,449","13,602","11,727",205,"1,551",-,-,26,-,-,93,"13,602",24,53,353,"13,602","13,553",39,10,"7,954",133,649,"1,922","2,283","1,778","1,015",165,9,-,"$169,700","$196,339","7,954","5,705","1,080","$1,350","2,249",235,$492,"5,648","5,563",85,$794,$841,"2,070","3,157"
0,63110,57,"9,629","8,129","3,544","4,585",2.45,1.83,"1,500",10,240,92,"3,554",0.3,"4,825",5.0,"8,675","8,375","9,629","4,120","3,818",302,"1,415","2,353",451,313,977,-,-,-,"9,629",385,621,295,150,156,336,477,483,"6,726","8,129","5,047","1,621",649,812,"8,129",804,"3,826","2,772",727,"8,129","6,084",183,"1,818",-,-,-,-,28,16,"8,129",28,70,135,"8,129","8,086",30,13,"3,544",79,396,689,780,908,546,145,1,-,"$187,500","$209,435","3,544","2,573",637,"$1,484",971,202,$489,"4,585","4,496",89,$858,$978,"1,777","3,005"
0,63111,83,"10,940","8,782","3,285","5,497",2.55,2.19,"2,158",217,519,10,"3,502",6.2,"6,016",8.6,"8,385","12,064","10,940","5,580","5,401",179,"2,099","1,661",388,340,815,57,-,5,"10,940",47,340,215,221,763,505,802,366,"7,681","8,782","5,546","1,594",830,812,"8,782","2,146","3,491","2,220",925,"8,782","6,364",105,"2,225",-,48,8,-,9,23,"8,782",43,66,195,"8,782","8,430",300,52,"3,285",625,"1,327",628,448,132,117,-,8,-,"$82,800","$103,653","3,285","1,936",659,"$1,092","1,349",222,$412,"5,497","5,369",128,$765,$799,"3,553","2,778"
