,zipcode,covid_cases,H1. HOUSING OCCUPANCY AND TENURE.Total housing units,H1. HOUSING OCCUPANCY AND TENURE.Occupied housing units,H1. HOUSING OCCUPANCY AND TENURE.Owner-occupied,H1. HOUSING OCCUPANCY AND TENURE.Renter-occupied,H1. HOUSING OCCUPANCY AND TENURE.Average household size of owner-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Average household size of renter-occupied unit,H1. HOUSING OCCUPANCY AND TENURE.Vacant housing units,H1. HOUSING OCCUPANCY AND TENURE.For sale,H1. HOUSING OCCUPANCY AND TENURE.For rent,"H1. HOUSING OCCUPANCY AND TENURE.For seasonal, recreational, or occasional use",H1. HOUSING OCCUPANCY AND TENURE.Total owner units,H1. HOUSING OCCUPANCY AND TENURE.Homeowner vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.Total rental units,H1. HOUSING OCCUPANCY AND TENURE.Rental vacancy rate,H1. HOUSING OCCUPANCY AND TENURE.People living in owned homes,H1. HOUSING OCCUPANCY AND TENURE.People living in rental homes,H2. UNITS IN STRUCTURE.Total housing units,H2. UNITS IN STRUCTURE.Single-family units,"H2. UNITS IN STRUCTURE.Single unit, detached","H2. UNITS IN STRUCTURE.Single unit, attached",H2. UNITS IN STRUCTURE.Duplexes,H2. UNITS IN STRUCTURE.3 or 4 units,H2. UNITS IN STRUCTURE.5 to 9 units,H2. UNITS IN STRUCTURE.10 to 19 units,H2. UNITS IN STRUCTURE.20 or more units,H2. UNITS IN STRUCTURE.Mobile home,"H2. UNITS IN STRUCTURE.Boat, RV, van, etc.",H2. UNITS IN STRUCTURE.Mobile homes per 1000 HUs,H3. YEAR STRUCTURE BUILT.Total housing units,H3. YEAR STRUCTURE BUILT.Built 2010 or later,H3. YEAR STRUCTURE BUILT.Built 2000 to 2009,H3. YEAR STRUCTURE BUILT.Built 1990 to 1999,H3. YEAR STRUCTURE BUILT.Built 1980 to 1989,H3. YEAR STRUCTURE BUILT.Built 1970 to 1979,H3. YEAR STRUCTURE BUILT.Built 1960 to 1969,H3. YEAR STRUCTURE BUILT.Built 1950 to 1959,H3. YEAR STRUCTURE BUILT.Built 1940 to 1949,H3. YEAR STRUCTURE BUILT.Built 1939 or earlier,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Occupied housing units,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2010 or later,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 2000 to 2009,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1990 to 1999,H4. YEAR HOUSEHOLDER MOVED INTO UNIT.Moved in 1989 or earlier,H5. VEHICLES AVAILABLE.Occupied housing units,H5. VEHICLES AVAILABLE.No vehicles available,H5. VEHICLES AVAILABLE.1 vehicle available,H5. VEHICLES AVAILABLE.2 vehicles available,H5. VEHICLES AVAILABLE.3 or more vehicles available,H6. HOUSE HEATING FUEL.Occupied housing units,H6. HOUSE HEATING FUEL.Utility gas,"H6. HOUSE HEATING FUEL.Bottled, tank, or LP gas",H6. HOUSE HEATING FUEL.Electricity,"H6. HOUSE HEATING FUEL.Fuel oil, kerosene, etc.",H6. HOUSE HEATING FUEL.Coal or coke,H6. HOUSE HEATING FUEL.Wood,H6. HOUSE HEATING FUEL.Solar energy,H6. HOUSE HEATING FUEL.Other fuel,H6. HOUSE HEATING FUEL.No fuel used,H7. SELECTED CHARACTERISTICS.Occupied housing units,H7. SELECTED CHARACTERISTICS.Lacking complete plumbing facilities,H7. SELECTED CHARACTERISTICS.Lacking complete kitchen facilities,H7. SELECTED CHARACTERISTICS.No telephone service available,H8. OCCUPANTS PER ROOM.Occupied housing units,H8. OCCUPANTS PER ROOM.1.00 or less,H8. OCCUPANTS PER ROOM.1.01 to 1.50,H8. OCCUPANTS PER ROOM.1.51 or more,H9. HOME VALUES.Owner-occupied units,"H9. HOME VALUES.Less than $50,000","H9. HOME VALUES.$50,000 to $99,999","H9. HOME VALUES.$100,000 to $149,999","H9. HOME VALUES.$150,000 to $199,999","H9. HOME VALUES.$200,000 to $299,999","H9. HOME VALUES.$300,000 to $499,999","H9. HOME VALUES.$500,000 to $999,999","H9. HOME VALUES.$1,000,000 or more","H9. HOME VALUES.$2,000,000 or more",H9. HOME VALUES.Median home value,H9. HOME VALUES.Average home value,H10. SELECTED MONTHLY OWNER COSTS.Owner-occupied units,H10. SELECTED MONTHLY OWNER COSTS.Housing units with a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H10. SELECTED MONTHLY OWNER COSTS.Housing units without a mortgage,H10. SELECTED MONTHLY OWNER COSTS.Nonmortgage owner costs 30% or more of HH income,H10. SELECTED MONTHLY OWNER COSTS.Median owner costs,H11. GROSS RENT.Renter-occupied units,H11. GROSS RENT.Paying cash rent,H11. GROSS RENT.Paying no cash rent,H11. GROSS RENT.Median rent,H11. GROSS RENT.Average gross rent,H11. GROSS RENT.Gross rent 30% or more of HH income,H11. GROSS RENT.Gross rent of $750 or more
0,63101,12,,88.9,16.1,83.9,,,11.1,,18.8,19.2,,,,,16.2,83.3,,5.4,85.6,14.4,,1.4,14.4,1.4,77.4,,,,,6.2,5.8,3.2,5.8,6.3,4.0,2.1,5.3,61.3,,85.6,14.0,,0.5,,14.1,68.5,16.5,0.9,,30.2,1.1,68.3,,,,,,0.5,,1.6,1.6,2.4,,99.5,,0.5,,,,4.3,37.8,44.7,13.2,,,,,,,73.9,18.2,,26.1,16.5,,,100.0,,,,38.8,84.5
0,63102,12,,79.3,,100.0,,,20.7,,52.5,9.7,,,,,,54.9,,1.2,100.0,,,1.7,,,96.4,0.7,,,,,2.7,1.2,3.9,1.2,46.1,7.5,,37.3,,95.0,5.0,,,,34.0,59.5,6.5,,,3.3,2.8,90.6,,,,,1.5,1.7,,,,10.4,,98.3,,1.7,,,,,,,,,,,,,,,,,,,,,98.3,1.7,,,33.6,82.8
0,63103,84,,78.2,12.8,87.2,,,21.8,,32.1,6.0,,,,,12.3,69.2,,2.9,94.8,5.2,2.6,2.2,3.9,3.6,84.5,,0.4,,,1.2,3.4,4.4,1.9,4.9,24.5,8.9,2.5,48.3,,82.5,15.1,1.2,1.2,,24.9,53.5,19.8,1.8,,17.4,0.1,81.8,0.1,,0.1,,0.5,,,,,3.6,,96.9,0.8,2.3,,9.4,5.2,13.6,32.8,24.8,10.1,4.2,,,,,,72.5,22.2,,27.5,6.7,,,98.6,1.4,,,38.1,60.6
0,63104,89,,87.0,37.6,62.4,,,13.0,13.2,27.6,3.4,,,,,40.9,58.2,,39.0,72.1,27.9,12.9,17.8,11.2,2.6,16.2,0.2,,,,1.2,10.2,2.7,6.6,2.6,4.4,3.4,1.8,67.1,,59.6,24.5,8.2,7.7,,14.6,46.0,31.3,8.0,,66.8,1.0,30.6,,,0.1,0.8,0.7,,,0.9,1.1,1.8,,99.4,0.4,0.2,,2.1,7.8,18.9,18.8,22.2,23.6,5.6,0.2,0.7,,,,76.8,19.7,,23.2,14.8,,,97.7,2.3,,,41.0,60.0
0,63106,100,,77.3,15.6,84.4,,,22.7,0.9,10.1,,,,,,18.4,78.7,,26.4,64.6,35.4,13.4,15.5,16.4,5.0,23.3,,,,,3.7,27.2,10.6,13.8,9.5,7.8,6.6,1.0,19.8,,63.1,26.5,5.0,5.3,,45.3,41.0,9.5,4.1,,49.3,0.5,49.5,,,,,,0.8,,0.7,0.9,1.8,,96.7,2.6,0.7,,15.9,23.3,17.6,17.4,18.4,,,7.4,,,,,58.9,45.4,,41.1,12.3,,,97.2,2.8,,,58.9,37.6
0,63107,73,,57.6,44.6,55.4,,,42.4,5.3,5.6,0.7,,,,,44.9,52.8,,41.1,94.5,5.5,32.9,17.5,2.8,1.2,4.0,0.5,,,,0.8,4.7,3.0,2.3,3.8,4.9,5.7,7.7,67.1,,45.5,23.0,9.0,22.5,,38.1,36.2,16.1,9.6,,68.7,1.8,29.1,,,,,,0.3,,0.9,1.1,4.3,,98.8,0.9,0.3,,47.9,29.7,12.4,4.3,2.7,1.3,1.4,0.3,,,,,35.0,43.9,,65.0,25.6,,,96.2,3.8,,,56.7,45.3
0,63108,187,,83.8,29.0,71.0,,,16.2,8.0,43.2,5.9,,,,,30.9,57.9,,17.9,79.3,20.7,4.7,6.1,8.6,6.6,55.6,0.4,,,,4.6,7.8,7.2,7.9,6.1,9.5,4.9,2.8,49.1,,68.5,20.1,7.2,4.2,,22.5,48.2,22.2,7.1,,44.7,1.6,50.3,0.4,,,,1.8,1.2,,0.3,0.9,2.2,,98.7,0.4,1.0,,5.3,3.5,6.6,6.6,20.5,28.6,22.1,5.4,1.3,,,,63.5,29.2,,36.5,8.6,,,98.3,1.7,,,42.9,62.9
0,63109,74,,92.1,58.5,41.5,,,7.9,6.4,22.2,,,,,,64.8,35.1,,58.8,96.9,3.1,11.9,19.8,5.2,2.2,2.0,0.1,,,,,1.3,0.7,1.0,3.5,5.2,19.4,19.1,49.6,,53.5,24.1,12.9,9.5,,7.5,46.6,35.2,10.7,,86.2,1.5,11.4,,,0.2,,,0.7,,0.2,0.4,2.6,,99.6,0.3,0.1,,1.7,8.2,24.2,28.7,22.4,12.8,2.1,0.1,,,,,71.7,18.9,,28.3,10.4,,,98.5,1.5,,,36.7,55.9
0,63110,57,,84.4,43.6,56.4,,,15.6,0.7,16.0,6.1,,,,,47.6,46.0,,42.8,92.7,7.3,14.7,24.4,4.7,3.3,10.1,,,,,4.0,6.4,3.1,1.6,1.6,3.5,5.0,5.0,69.9,,62.1,19.9,8.0,10.0,,9.9,47.1,34.1,8.9,,74.8,2.3,22.4,,,,,0.3,0.2,,0.3,0.9,1.7,,99.5,0.4,0.2,,2.2,11.2,19.4,22.0,25.6,15.4,4.1,,,,,,72.6,24.8,,27.4,20.8,,,98.1,1.9,,,38.8,65.5
0,63111,83,,80.3,37.4,62.6,,,19.7,10.1,24.1,0.5,,,,,39.7,57.1,,51.0,96.8,3.2,19.2,15.2,3.5,3.1,7.4,0.5,,,,0.4,3.1,2.0,2.0,7.0,4.6,7.3,3.3,70.2,,63.2,18.2,9.5,9.2,,24.4,39.8,25.3,10.5,,72.5,1.2,25.3,,0.5,0.1,,0.1,0.3,,0.5,0.8,2.2,,96.0,3.4,0.6,,19.0,40.4,19.1,13.6,4.0,3.6,,0.2,,,,,58.9,34.0,,41.1,16.5,,,97.7,2.3,,,64.6,50.5
